D_ESTADO_DATO_0;D_TERRITORIO_0;D_RESITUR_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;2402;55557;2020;Viajeros;609.976695313;A
40123;2402;55558;2014;Viajeros;2670.6913615;A
40123;2402;55558;2015;Viajeros;2124.9112626;A
40123;2402;55558;2016;Viajeros;2593.349288;A
40123;2402;55558;2017;Viajeros;2549.8621308;A
40123;2402;55558;2018;Viajeros;2884.8120283;A
40123;2402;55558;2019;Viajeros;3406.33234019;A
40123;2402;55558;2020;Viajeros;2031.038601625;A
40123;2402;55559;2014;Viajeros;185.33798455;A
40123;2402;55559;2015;Viajeros;244.67024573;A
40123;2402;55559;2016;Viajeros;294.32521275;A
40123;2402;55559;2017;Viajeros;160.5204174;A
40123;2402;55559;2018;Viajeros;306.25433117;A
40123;2402;55559;2019;Viajeros;245.347090697;A
40123;2402;55559;2020;Viajeros;139.434131406;A
40123;2402;55544;2014;Viajeros;715.23937317;A
40123;2402;55544;2015;Viajeros;793.10385262;A
40123;2402;55544;2016;Viajeros;743.98148345;A
40123;2402;55544;2017;Viajeros;846.17953586;A
40123;2402;55544;2018;Viajeros;1035.6912631;A
40123;2402;55544;2019;Viajeros;860.123047559;A
40123;2402;55544;2020;Viajeros;378.38852388;A
40123;2402;55561;2014;Viajeros;152.92380353;A
40123;2402;55561;2015;Viajeros;480.43842783;A
40123;2402;55561;2016;Viajeros;746.73794522;A
40123;2402;55561;2017;Viajeros;815.3248549;A
40123;2402;55561;2018;Viajeros;900.5650804;A
40123;2402;55561;2019;Viajeros;311.788501648;A
40123;2402;55561;2020;Viajeros;352.834834494;A
40123;2402;55562;2014;Viajeros;110.82004142;A
40123;2402;55562;2015;Viajeros;202.5403182;A
40123;2402;55562;2016;Viajeros;71.663628352;A
40123;2402;55562;2017;Viajeros;112.21683366;A
40123;2402;55562;2018;Viajeros;83.749719468;A
40123;2402;55562;2019;Viajeros;200.528470905;A
40123;2402;55562;2020;Viajeros;69.599518854;A
