D_ESTADO_DATO_0;D_RESITUR_0;D_TEMPORAL_0;D_PARQUES_TURISMO_0;INDICATOR;OBS_VALUE;FREQ
40123;516712;2018;55541;Viajeros;669.89951467;A
40123;516712;2019;55537;Viajeros;29.946295319;A
40123;516712;2019;55538;Viajeros;52.930848824;A
40123;516712;2019;55539;Viajeros;-;A
40123;516712;2019;55540;Viajeros;17.286676647;A
40123;516712;2019;55541;Viajeros;1001.445617446;A
40123;516712;2020;55537;Viajeros;-;A
40123;516712;2020;55538;Viajeros;27.621252104;A
40123;516712;2020;55539;Viajeros;-;A
40123;516712;2020;55540;Viajeros;;A
40123;516712;2020;55541;Viajeros;329.827734128;A
40123;55571;2014;55537;Viajeros;664.0313747;A
40123;55571;2014;55538;Viajeros;1175.5511815;A
40123;55571;2014;55539;Viajeros;234.61966408;A
40123;55571;2014;55540;Viajeros;63.651802845;A
40123;55571;2014;55541;Viajeros;36832.904402;A
40123;55571;2015;55537;Viajeros;658.66178854;A
40123;55571;2015;55538;Viajeros;1780.8971218;A
40123;55571;2015;55539;Viajeros;307.40745636;A
40123;55571;2015;55540;Viajeros;201.50785098;A
40123;55571;2015;55541;Viajeros;50854.786905;A
40123;55571;2016;55537;Viajeros;1463.4801287;A
40123;55571;2016;55538;Viajeros;1518.6366489;A
40123;55571;2016;55539;Viajeros;251.22856837;A
40123;55571;2016;55540;Viajeros;181.64989326;A
40123;55571;2016;55541;Viajeros;58931.263414;A
40123;55571;2017;55537;Viajeros;1739.1792021;A
40123;55571;2017;55538;Viajeros;2822.1201478;A
40123;55571;2017;55539;Viajeros;384.04722914;A
40123;55571;2017;55540;Viajeros;212.90246156;A
40123;55571;2017;55541;Viajeros;78878.927442;A
40123;55571;2018;55537;Viajeros;1538.2436978;A
40123;55571;2018;55538;Viajeros;2299.4789546;A
40123;55571;2018;55539;Viajeros;360.34545455;A
40123;55571;2018;55540;Viajeros;276.84656122;A
40123;55571;2018;55541;Viajeros;70301.084239;A
40123;55571;2019;55537;Viajeros;1732.639331208;A
40123;55571;2019;55538;Viajeros;1864.887912815;A
40123;55571;2019;55539;Viajeros;106.342592593;A
40123;55571;2019;55540;Viajeros;281.15327006;A
40123;55571;2019;55541;Viajeros;51410.133311107;A
40123;55571;2020;55537;Viajeros;416.831499192;A
40123;55571;2020;55538;Viajeros;332.541500389;A
40123;55571;2020;55539;Viajeros;32.400269542;A
40123;55571;2020;55540;Viajeros;647.600046246;A
40123;55571;2020;55541;Viajeros;11785.586446902;A
40123;516713;2014;55537;Viajeros;127.61458333;A
40123;516713;2014;55538;Viajeros;495.19528165;A
40123;516713;2014;55539;Viajeros;52.884237726;A
40123;516713;2014;55540;Viajeros;28.827486188;A
40123;516713;2014;55541;Viajeros;5267.3244729;A
40123;516713;2015;55537;Viajeros;261.95191523;A
40123;516713;2015;55538;Viajeros;581.18674361;A
40123;516713;2015;55539;Viajeros;85.866666667;A
40123;516713;2015;55540;Viajeros;59.602919438;A
40123;516713;2015;55541;Viajeros;4368.3401185;A
40123;516713;2016;55537;Viajeros;558.41713337;A
40123;516713;2016;55538;Viajeros;496.50345155;A
40123;516713;2016;55539;Viajeros;184.57619048;A
40123;516713;2016;55540;Viajeros;66.702848566;A
40123;516713;2016;55541;Viajeros;5309.7323557;A
40123;516713;2017;55537;Viajeros;1411.8939585;A
40123;516713;2017;55538;Viajeros;526.36782241;A
40123;516713;2017;55539;Viajeros;59.0;A
40123;516713;2017;55540;Viajeros;163.38389932;A
40123;516713;2017;55541;Viajeros;7985.5476198;A
40123;516713;2018;55537;Viajeros;1659.1578519;A
40123;516713;2018;55538;Viajeros;757.03858347;A
40123;516713;2018;55539;Viajeros;73.6;A
40123;516713;2018;55540;Viajeros;125.58179612;A
40123;516713;2018;55541;Viajeros;8519.4608193;A
40123;516713;2019;55537;Viajeros;1060.417529183;A
40123;516713;2019;55538;Viajeros;769.121372026;A
40123;516713;2019;55539;Viajeros;138.933333333;A
40123;516713;2019;55540;Viajeros;235.124685245;A
40123;516713;2019;55541;Viajeros;10496.895819164;A
40123;516713;2020;55537;Viajeros;140.579183081;A
40123;516713;2020;55538;Viajeros;249.387022393;A
40123;516713;2020;55539;Viajeros;-;A
