D_ESTADO_DATO_0;D_PUNTOS_TURISTICOS_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;55121;2013;Empleo medio;249.255833334;A
40123;55121;2012;Empleo medio;246.643333333;A
40123;55121;2010;Empleo medio;258.3075;A
40123;55121;2009;Empleo medio;250.343333333;A
40123;55121;2008;Empleo medio;288.065833333;A
40123;70690;2020;Empleo medio;871.245884153;A
40123;70690;2019;Empleo medio;2431.870639422;A
40123;70690;2018;Empleo medio;2318.777140083;A
40123;70690;2017;Empleo medio;2232.517814824;A
40123;70690;2016;Empleo medio;2148.079525671;A
40123;70690;2015;Empleo medio;2098.308478182;A
40123;70690;2014;Empleo medio;2041.333760577;A
40123;70690;2013;Empleo medio;2110.813333333;A
40123;70690;2012;Empleo medio;2310.649999999;A
40123;70690;2011;Empleo medio;2184.909166667;A
40123;70690;2010;Empleo medio;2014.671666666;A
40123;70690;2009;Empleo medio;2092.050833333;A
40123;70690;2008;Empleo medio;2384.688333334;A
40123;55122;2019;Empleo medio;116.005456574;A
40123;70691;2020;Empleo medio;1604.724950056;A
40123;70691;2019;Empleo medio;3718.477259619;A
40123;70691;2018;Empleo medio;3595.675625472;A
40123;70691;2017;Empleo medio;3475.333647385;A
40123;70691;2016;Empleo medio;3393.378090818;A
40123;70691;2015;Empleo medio;3312.776188685;A
40123;70691;2014;Empleo medio;2941.008564056;A
40123;70691;2013;Empleo medio;2856.080833334;A
40123;70691;2012;Empleo medio;2779.476666665;A
40123;70691;2011;Empleo medio;2740.775000001;A
40123;70691;2010;Empleo medio;2744.386666667;A
40123;70691;2009;Empleo medio;2652.345;A
40123;70691;2008;Empleo medio;2748.834166668;A
40124;70665;2021;Empleo medio;348.873716085;A
40124;55107;2021;Empleo medio;236.341294326;A
40124;55108;2021;Empleo medio;113.865159068;A
40124;70667;2021;Empleo medio;695.446941505;A
40124;70669;2021;Empleo medio;214.760207507;A
40124;55109;2021;Empleo medio;115.943997659;A
40124;70671;2021;Empleo medio;331.027248527;A
40124;70672;2021;Empleo medio;1103.684110409;A
40124;70673;2021;Empleo medio;226.817228471;A
40124;55110;2021;Empleo medio;379.415617648;A
40124;70674;2021;Empleo medio;322.626570921;A
40124;70675;2021;Empleo medio;152.869408088;A
40124;278910;2021;Empleo medio;312.175568084;A
40124;55111;2021;Empleo medio;300.707742774;A
40124;55113;2021;Empleo medio;570.000122926;A
40124;55114;2021;Empleo medio;259.326846544;A
40124;55115;2021;Empleo medio;854.466272931;A
40124;70676;2021;Empleo medio;163.35862681;A
40124;70679;2021;Empleo medio;96.925397911;A
40124;278109;2021;Empleo medio;52.226593645;A
40124;70681;2021;Empleo medio;89.562594865;A
40124;269777;2021;Empleo medio;53.10028566;A
40124;70682;2021;Empleo medio;167.603661218;A
40124;70683;2021;Empleo medio;109.074370081;A
40124;70684;2021;Empleo medio;115.983811249;A
40124;70685;2021;Empleo medio;858.725726912;A
40124;70686;2021;Empleo medio;795.41312534;A
40124;70687;2021;Empleo medio;713.726518988;A
40124;70688;2021;Empleo medio;1235.270484578;A
40124;55120;2021;Empleo medio;2444.319961339;A
40124;70689;2021;Empleo medio;235.617566133;A
40124;55121;2021;Empleo medio;193.38075684;A
40124;70690;2021;Empleo medio;1182.296279846;A
40124;55122;2021;Empleo medio;79.973558518;A
40124;70691;2021;Empleo medio;1882.492674785;A
40123;70665;2020;Grado de ocupación por plazas;40.020945152344524;A
40123;70665;2019;Grado de ocupación por plazas;57.48214931322372;A
40123;70665;2018;Grado de ocupación por plazas;60.12490224263217;A
40123;70665;2017;Grado de ocupación por plazas;59.39916740706682;A
40123;70665;2016;Grado de ocupación por plazas;54.169375639948;A
40123;70665;2015;Grado de ocupación por plazas;51.332730071066955;A
40123;70665;2014;Grado de ocupación por plazas;46.86124449674669;A
40123;70665;2013;Grado de ocupación por plazas;45.052964809918045;A
40123;70665;2012;Grado de ocupación por plazas;39.455646505393496;A
40123;70665;2011;Grado de ocupación por plazas;43.426651615294745;A
40123;70665;2010;Grado de ocupación por plazas;42.85806476776188;A
40123;70665;2009;Grado de ocupación por plazas;41.89790374268012;A
40123;70665;2008;Grado de ocupación por plazas;41.71296213836752;A
40123;70666;2020;Grado de ocupación por plazas;25.93000000001306;A
40123;70666;2018;Grado de ocupación por plazas;29.940971812549037;A
40123;70666;2017;Grado de ocupación por plazas;32.946427047711126;A
40123;70666;2015;Grado de ocupación por plazas;27.254404913267056;A
40123;70666;2014;Grado de ocupación por plazas;25.49319028553246;A
40123;70666;2013;Grado de ocupación por plazas;22.388743512316875;A
40123;70668;2020;Grado de ocupación por plazas;23.471125975524462;A
40123;70668;2019;Grado de ocupación por plazas;49.90983486045946;A
40123;70668;2014;Grado de ocupación por plazas;42.85943448056683;A
40123;55107;2020;Grado de ocupación por plazas;24.886575780862096;A
40123;55107;2019;Grado de ocupación por plazas;41.84538928275243;A
40123;55107;2018;Grado de ocupación por plazas;42.094043769539255;A
40123;55107;2017;Grado de ocupación por plazas;42.856246654263586;A
40123;55107;2016;Grado de ocupación por plazas;43.18679585002288;A
40123;55107;2015;Grado de ocupación por plazas;42.32575043761571;A
40123;55107;2014;Grado de ocupación por plazas;38.37913295907034;A
40123;55107;2013;Grado de ocupación por plazas;36.81015315031221;A
40123;55107;2012;Grado de ocupación por plazas;37.78830587804627;A
40123;55107;2011;Grado de ocupación por plazas;39.40085707038357;A
40123;55107;2010;Grado de ocupación por plazas;36.47571351561106;A
40123;55107;2008;Grado de ocupación por plazas;44.11518504709673;A
