D_ESTADO_DATO_0;D_TERRITORIO_0;D_FORMA_JUR_SOCMER_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40124;3112;46366;2021;Sociedades constituidas;;A
40124;3113;46367;2021;Sociedades constituidas;5.0;A
40124;3113;46361;2021;Sociedades constituidas;;A
40124;3113;46364;2021;Sociedades constituidas;5.0;A
40124;3113;46366;2021;Sociedades constituidas;;A
40124;3114;46367;2021;Sociedades constituidas;23.0;A
40124;3114;46361;2021;Sociedades constituidas;;A
40124;3114;46364;2021;Sociedades constituidas;23.0;A
40124;3114;46366;2021;Sociedades constituidas;;A
40124;3115;46367;2021;Sociedades constituidas;24.0;A
40124;3115;46361;2021;Sociedades constituidas;;A
40124;3115;46364;2021;Sociedades constituidas;24.0;A
40124;3115;46366;2021;Sociedades constituidas;;A
40124;3116;46367;2021;Sociedades constituidas;22.0;A
40124;3116;46361;2021;Sociedades constituidas;;A
40124;3116;46364;2021;Sociedades constituidas;22.0;A
40124;3116;46366;2021;Sociedades constituidas;;A
40124;3118;46367;2021;Sociedades constituidas;8.0;A
40124;3118;46361;2021;Sociedades constituidas;;A
40124;3118;46364;2021;Sociedades constituidas;8.0;A
40124;3118;46366;2021;Sociedades constituidas;;A
40124;3119;46367;2021;Sociedades constituidas;3.0;A
40124;3119;46361;2021;Sociedades constituidas;;A
40124;3119;46364;2021;Sociedades constituidas;3.0;A
40124;3119;46366;2021;Sociedades constituidas;;A
40124;3120;46367;2021;Sociedades constituidas;2262.0;A
40124;3120;46361;2021;Sociedades constituidas;8.0;A
40124;3120;46364;2021;Sociedades constituidas;2233.0;A
40124;3120;46366;2021;Sociedades constituidas;21.0;A
40124;3121;46367;2021;Sociedades constituidas;12.0;A
40124;3121;46361;2021;Sociedades constituidas;;A
40124;3121;46364;2021;Sociedades constituidas;12.0;A
40124;3121;46366;2021;Sociedades constituidas;;A
40124;3122;46367;2021;Sociedades constituidas;78.0;A
40124;3122;46361;2021;Sociedades constituidas;;A
40124;3122;46364;2021;Sociedades constituidas;78.0;A
40124;3122;46366;2021;Sociedades constituidas;;A
40124;3123;46367;2021;Sociedades constituidas;14.0;A
40124;3123;46361;2021;Sociedades constituidas;;A
40124;3123;46364;2021;Sociedades constituidas;14.0;A
40124;3123;46366;2021;Sociedades constituidas;;A
40124;3124;46367;2021;Sociedades constituidas;95.0;A
40124;3124;46361;2021;Sociedades constituidas;;A
40124;3124;46364;2021;Sociedades constituidas;95.0;A
40124;3124;46366;2021;Sociedades constituidas;;A
40124;3126;46367;2021;Sociedades constituidas;36.0;A
40124;3126;46361;2021;Sociedades constituidas;;A
40124;3126;46364;2021;Sociedades constituidas;36.0;A
40124;3126;46366;2021;Sociedades constituidas;;A
40124;3127;46367;2021;Sociedades constituidas;8.0;A
40124;3127;46361;2021;Sociedades constituidas;;A
40124;3127;46364;2021;Sociedades constituidas;8.0;A
40124;3127;46366;2021;Sociedades constituidas;;A
40124;3128;46367;2021;Sociedades constituidas;11.0;A
40124;3128;46361;2021;Sociedades constituidas;;A
40124;3128;46364;2021;Sociedades constituidas;11.0;A
40124;3128;46366;2021;Sociedades constituidas;;A
40124;3129;46367;2021;Sociedades constituidas;4.0;A
40124;3129;46361;2021;Sociedades constituidas;;A
40124;3129;46364;2021;Sociedades constituidas;4.0;A
40124;3129;46366;2021;Sociedades constituidas;;A
40124;3131;46367;2021;Sociedades constituidas;18.0;A
40124;3131;46361;2021;Sociedades constituidas;;A
40124;3131;46364;2021;Sociedades constituidas;18.0;A
40124;3131;46366;2021;Sociedades constituidas;;A
40124;3132;46367;2021;Sociedades constituidas;37.0;A
40124;3132;46361;2021;Sociedades constituidas;;A
40124;3132;46364;2021;Sociedades constituidas;37.0;A
40124;3132;46366;2021;Sociedades constituidas;;A
40124;3142;46367;2021;Capital suscrito;156752358;A
40124;3142;46361;2021;Capital suscrito;1246000.0;A
40124;3142;46364;2021;Capital suscrito;155436701;A
40124;3142;46366;2021;Capital suscrito;69656.53;A
40124;3026;46367;2021;Capital suscrito;7000.0;A
40124;3026;46361;2021;Capital suscrito;;A
40124;3026;46364;2021;Capital suscrito;6000.0;A
40124;3026;46366;2021;Capital suscrito;1000.0;A
40124;3028;46367;2021;Capital suscrito;20871697;A
40124;3028;46361;2021;Capital suscrito;60000.0;A
40124;3028;46364;2021;Capital suscrito;20811697;A
40124;3028;46366;2021;Capital suscrito;0.0;A
40124;3029;46367;2021;Capital suscrito;275010.0;A
40124;3029;46361;2021;Capital suscrito;;A
40124;3029;46364;2021;Capital suscrito;275010.0;A
40124;3029;46366;2021;Capital suscrito;;A
40124;3030;46367;2021;Capital suscrito;73000.0;A
40124;3030;46361;2021;Capital suscrito;;A
40124;3030;46364;2021;Capital suscrito;73000.0;A
40124;3030;46366;2021;Capital suscrito;;A
40124;3031;46367;2021;Capital suscrito;124305.0;A
40124;3031;46361;2021;Capital suscrito;;A
40124;3031;46364;2021;Capital suscrito;124305.0;A
40124;3031;46366;2021;Capital suscrito;;A
40124;3032;46367;2021;Capital suscrito;7000.0;A
40124;3032;46361;2021;Capital suscrito;;A
40124;3032;46364;2021;Capital suscrito;7000.0;A
40124;3032;46366;2021;Capital suscrito;;A
40124;3034;46367;2021;Capital suscrito;18010.0;A
40124;3034;46361;2021;Capital suscrito;;A
40124;3034;46364;2021;Capital suscrito;18010.0;A
40124;3034;46366;2021;Capital suscrito;;A
40124;3035;46367;2021;Capital suscrito;98329.0;A
40124;3035;46361;2021;Capital suscrito;;A
40124;3035;46364;2021;Capital suscrito;98329.0;A
40124;3035;46366;2021;Capital suscrito;;A
40124;3037;46367;2021;Capital suscrito;34960.0;A
40124;3037;46361;2021;Capital suscrito;;A
40124;3037;46364;2021;Capital suscrito;34960.0;A
40124;3037;46366;2021;Capital suscrito;;A
40124;3038;46367;2021;Capital suscrito;34000.0;A
40124;3038;46361;2021;Capital suscrito;;A
40124;3038;46364;2021;Capital suscrito;34000.0;A
40124;3038;46366;2021;Capital suscrito;;A
40124;3039;46367;2021;Capital suscrito;31230.0;A
40124;3039;46361;2021;Capital suscrito;;A
40124;3039;46364;2021;Capital suscrito;31230.0;A
40124;3039;46366;2021;Capital suscrito;;A
40124;3040;46367;2021;Capital suscrito;36656.0;A
40124;3040;46361;2021;Capital suscrito;;A
40124;3040;46364;2021;Capital suscrito;36656.0;A
40124;3040;46366;2021;Capital suscrito;;A
40124;3041;46367;2021;Capital suscrito;871981.0;A
40124;3041;46361;2021;Capital suscrito;;A
40124;3041;46364;2021;Capital suscrito;871981.0;A
40124;3041;46366;2021;Capital suscrito;;A
40124;3042;46367;2021;Capital suscrito;8702176.0;A
40124;3042;46361;2021;Capital suscrito;;A
40124;3042;46364;2021;Capital suscrito;8702076.0;A
40124;3042;46366;2021;Capital suscrito;100.0;A
40124;3043;46367;2021;Capital suscrito;276658.0;A
40124;3043;46361;2021;Capital suscrito;;A
40124;3043;46364;2021;Capital suscrito;276658.0;A
40124;3043;46366;2021;Capital suscrito;;A
40124;3044;46367;2021;Capital suscrito;365000.0;A
40124;3044;46361;2021;Capital suscrito;;A
40124;3044;46364;2021;Capital suscrito;365000.0;A
40124;3044;46366;2021;Capital suscrito;;A
40124;3045;46367;2021;Capital suscrito;134560.0;A
40124;3045;46361;2021;Capital suscrito;;A
40124;3045;46364;2021;Capital suscrito;134560.0;A
40124;3045;46366;2021;Capital suscrito;;A
40124;3046;46367;2021;Capital suscrito;2051596.89;A
40124;3046;46361;2021;Capital suscrito;;A
40124;3046;46364;2021;Capital suscrito;2051596.89;A
40124;3046;46366;2021;Capital suscrito;;A
40124;3047;46367;2021;Capital suscrito;9200.0;A
40124;3047;46361;2021;Capital suscrito;;A
40124;3047;46364;2021;Capital suscrito;9200.0;A
40124;3047;46366;2021;Capital suscrito;;A
40124;3048;46367;2021;Capital suscrito;102914.0;A
40124;3048;46361;2021;Capital suscrito;;A
40124;3048;46364;2021;Capital suscrito;102914.0;A
40124;3048;46366;2021;Capital suscrito;;A
40124;3133;46367;2021;Capital suscrito;6160.0;A
40124;3133;46361;2021;Capital suscrito;;A
40124;3133;46364;2021;Capital suscrito;6160.0;A
40124;3133;46366;2021;Capital suscrito;;A
40124;3049;46367;2021;Capital suscrito;1784572.0;A
40124;3049;46361;2021;Capital suscrito;;A
40124;3049;46364;2021;Capital suscrito;1784572.0;A
40124;3049;46366;2021;Capital suscrito;;A
40124;3051;46367;2021;Capital suscrito;80562.0;A
40124;3051;46361;2021;Capital suscrito;;A
40124;3051;46364;2021;Capital suscrito;80562.0;A
40124;3051;46366;2021;Capital suscrito;;A
40124;3052;46367;2021;Capital suscrito;6100.0;A
40124;3052;46361;2021;Capital suscrito;;A
40124;3052;46364;2021;Capital suscrito;6100.0;A
40124;3052;46366;2021;Capital suscrito;;A
40124;3053;46367;2021;Capital suscrito;32734.48;A
40124;3053;46361;2021;Capital suscrito;;A
40124;3053;46364;2021;Capital suscrito;32734.48;A
40124;3053;46366;2021;Capital suscrito;;A
40124;3054;46367;2021;Capital suscrito;1027350.0;A
40124;3054;46361;2021;Capital suscrito;;A
40124;3054;46364;2021;Capital suscrito;1027350.0;A
40124;3054;46366;2021;Capital suscrito;;A
40124;3056;46367;2021;Capital suscrito;6000.0;A
40124;3056;46361;2021;Capital suscrito;;A
40124;3056;46364;2021;Capital suscrito;6000.0;A
40124;3056;46366;2021;Capital suscrito;;A
40124;3057;46367;2021;Capital suscrito;9200.0;A
40124;3057;46361;2021;Capital suscrito;;A
40124;3057;46364;2021;Capital suscrito;9200.0;A
40124;3057;46366;2021;Capital suscrito;;A
40124;3058;46367;2021;Capital suscrito;56020.0;A
40124;3058;46361;2021;Capital suscrito;;A
40124;3058;46364;2021;Capital suscrito;56020.0;A
