TEMPORAL;TERRITORIO;IPC_RUBRICAS;INDICATOR;OBS_VALUE;FREQ;IPC_GRUPOSESPECIALES
2021-05;ES;62039;INX;111.078;M;
2021-05;ES;62040;INX;109.742;M;
2021-05;ES;62041;INX;105.823;M;
2021-05;ES;62042;INX;98.611;M;
2021-05;ES;62043;INX;103.577;M;
2021-05;ES;62044;INX;91.703;M;
2021-05;ES;62045;INX;122.451;M;
2021-05;ES;62046;INX;99.049;M;
2021-05;ES;62047;INX;120.452;M;
2021-05;ES;62048;INX;105.521;M;
2021-05;ES;62049;INX;112.441;M;
2021-05;ES;62050;INX;101.899;M;
2021-05;ES;62051;INX;105.762;M;
2021-05;ES;62052;INX;102.44;M;
2021-05;ES;62053;INX;115.817;M;
2021-05;ES;62054;INX;106.952;M;
2021-05;ES;62055;INX;103.874;M;
2021-05;ES;62056;INX;105.323;M;
2021-05;ES;62057;INX;114.934;M;
2021-05;ES;62058;INX;117.335;M;
2021-05;ES;62059;INX;106.522;M;
2021-05;ES;62060;INX;109.189;M;
2021-05;ES;62061;INX;109.618;M;
2021-05;ES;62062;INX;105.343;M;
2021-05;ES;62063;INX;108.442;M;
2021-05;ES;62064;INX;104.955;M;
2021-05;ES;62065;INX;112.673;M;
2021-05;ES;62066;INX;104.251;M;
2021-05;ES;62067;INX;103.972;M;
2021-05;ES;62068;INX;99.276;M;
2021-05;ES;62069;INX;97.366;M;
2021-05;ES;62070;INX;99.928;M;
2021-05;ES;62071;INX;99.972;M;
2021-05;ES;62072;INX;109.571;M;
2021-05;ES;62073;INX;108.425;M;
2021-05;ES;62074;INX;100.27;M;
2021-05;ES;62075;INX;112.326;M;
2021-05;ES;62076;INX;102.495;M;
2021-05;ES;62077;INX;94.499;M;
2021-05;ES;62078;INX;100.21;M;
2021-05;ES;62079;INX;89.743;M;
2021-05;ES;62080;INX;109.394;M;
2021-05;ES;62081;INX;102.895;M;
2021-05;ES;62082;INX;106.361;M;
2021-05;ES;62083;INX;108.264;M;
2021-05;ES;62084;INX;99.313;M;
2021-05;ES;62085;INX;106.034;M;
2021-05;ES;62086;INX;96.878;M;
2021-05;ES;62087;INX;106.245;M;
2021-05;ES;62088;INX;107.316;M;
2021-05;ES61;62032;INX;102.865;M;
2021-05;ES61;62033;INX;101.319;M;
2021-05;ES61;62034;INX;105.12;M;
2021-05;ES61;62035;INX;111.31;M;
2021-05;ES61;62036;INX;110.44;M;
2021-05;ES61;62037;INX;111.647;M;
2021-05;ES61;62038;INX;106.838;M;
2021-05;ES61;62039;INX;111.274;M;
2021-05;ES61;62040;INX;108.953;M;
2021-05;ES61;62041;INX;101.979;M;
2021-05;ES61;62042;INX;98.317;M;
2021-05;ES61;62043;INX;103.379;M;
2021-05;ES61;62044;INX;90.864;M;
2021-05;ES61;62045;INX;127.212;M;
2021-05;ES61;62046;INX;99.121;M;
2021-05;ES61;62047;INX;119.121;M;
2021-05;ES61;62048;INX;105.369;M;
2021-05;ES61;62049;INX;111.667;M;
2021-05;ES61;62050;INX;101.144;M;
2021-05;ES61;62051;INX;107.818;M;
2021-05;ES61;62052;INX;101.915;M;
2021-05;ES61;62053;INX;112.447;M;
2021-05;ES61;62054;INX;104.205;M;
2021-05;ES61;62055;INX;103.129;M;
2021-05;ES61;62056;INX;104.483;M;
2021-05;ES61;62057;INX;116.326;M;
2021-05;ES61;62058;INX;118.57;M;
2021-05;ES61;62059;INX;109.091;M;
2021-05;ES61;62060;INX;109.302;M;
2021-05;ES61;62061;INX;108.555;M;
2021-05;ES61;62062;INX;100.817;M;
2021-05;ES61;62063;INX;106.7;M;
2021-05;ES61;62064;INX;104.206;M;
2021-05;ES61;62065;INX;114.885;M;
2021-05;ES61;62066;INX;104.366;M;
2021-05;ES61;62067;INX;103.474;M;
2021-05;ES61;62068;INX;97.258;M;
