D_TEMPORAL_0;D_TERRITORIO_0;D_NACIONACONYUGES_0;INDICATOR;OBS_VALUE;FREQ
2014;ES616;3;DIV;19.0814;A
2014;ES616;30;DIV;8.8068;A
2014;ES616;4;DIV;4.4034;A
2014;ES616;5;DIV;4.4034;A
2014;ES617;00;DIV;3567.8708;A
2014;ES617;11;DIV;2899.70005;A
2014;ES617;10;DIV;2899.70005;A
2014;ES617;1;DIV;2899.70005;A
2014;ES617;22;DIV;668.17075;A
2014;ES617;20;DIV;458.86425;A
2014;ES617;2;DIV;212.5266;A
2014;ES617;3;DIV;246.33765;A
2014;ES617;30;DIV;209.3065;A
2014;ES617;4;DIV;154.5648;A
2014;ES617;5;DIV;54.7417;A
2014;ES618;00;DIV;4126.85938;A
