TERRITORIO;SECC_CNAE09;OBS_STATUS;TEMPORAL;MACROMAG_CPA;INDICATOR;OBS_VALUE;FREQ
ES611;273781;A;2009;273765;NR;125.121649908;A
ES611;273781;A;2009;273768;NR;315271.0;A
ES611;273781;A;2009;273769;NR;-470.0;A
ES611;273781;A;2009;273770;NR;221171.0;A
ES611;273781;A;2009;273771;NR;12875.0;A
ES611;273781;A;2009;273772;NR;11478.0;A
ES611;273781;A;2009;273773;NR;1397.0;A
ES611;273781;A;2010;273760;NR;1570546.0;A
ES611;273781;A;2010;273761;NR;1068653.0;A
ES611;273781;A;2010;273762;NR;501893.0;A
ES611;273781;A;2010;273765;NR;115.275682318;A
ES611;273781;A;2010;273768;NR;286243.0;A
ES611;273781;A;2010;273769;NR;-1560.0;A
ES611;273781;A;2010;273770;NR;217210.0;A
ES611;273781;A;2010;273771;NR;11270.0;A
ES611;273781;A;2010;273772;NR;9996.0;A
ES611;273781;A;2010;273773;NR;1274.0;A
ES611;273781;A;2011;273760;NR;1514880.0;A
ES611;273781;A;2011;273761;NR;1048266.0;A
ES611;273781;A;2011;273762;NR;466614.0;A
ES611;273781;A;2011;273765;NR;102.603405316;A
ES611;273781;A;2011;273768;NR;273087.0;A
ES611;273781;A;2011;273769;NR;-2176.0;A
ES611;273781;A;2011;273770;NR;195703.0;A
ES611;273781;A;2011;273771;NR;10341.0;A
ES611;273781;A;2011;273772;NR;9141.0;A
ES611;273781;A;2011;273773;NR;1200.0;A
ES611;273781;A;2012;273760;NR;1574902.0;A
ES611;273781;A;2012;273761;NR;1082384.0;A
ES611;273781;A;2012;273762;NR;492518.0;A
ES611;273781;A;2012;273765;NR;108.716566498;A
ES611;273781;A;2012;273768;NR;257958.0;A
ES611;273781;A;2012;273769;NR;3254.0;A
ES611;273781;A;2012;273770;NR;231306.0;A
ES611;273781;A;2012;273771;NR;9126.0;A
ES611;273781;A;2012;273772;NR;8070.0;A
ES611;273781;A;2012;273773;NR;1056.0;A
ES611;273781;A;2013;273760;NR;1488041.0;A
ES611;273781;A;2013;273761;NR;1055404.0;A
ES611;273781;A;2013;273762;NR;432637.0;A
ES611;273781;A;2013;273765;NR;91.970955465;A
ES611;273781;A;2013;273768;NR;232578.0;A
