D_TEMPORAL_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2006;2352;Tasa de variación interanual;3.811141098412385;A
2006;2402;Tasa de variación interanual;-1.5646893123349555;A
2006;2482;Tasa de variación interanual;19.477716247961403;A
2006;2713;Tasa de variación interanual;5.959879869710403;A
2006;2797;Tasa de variación interanual;8.545720784995158;A
2006;2911;Tasa de variación interanual;7.730598822435088;A
2006;3023;Tasa de variación interanual;17.682935233752044;A
2006;3142;Tasa de variación interanual;-2.290880865866771;A
2007;P1_C01;Tasa de variación interanual;4.693909142857414;A
2007;2352;Tasa de variación interanual;1.0877809862162964;A
2007;2402;Tasa de variación interanual;5.9536234604385685;A
2007;2482;Tasa de variación interanual;18.705282589900456;A
2007;2713;Tasa de variación interanual;-3.1582350298853292;A
2007;2797;Tasa de variación interanual;3.002070288703869;A
2007;2911;Tasa de variación interanual;1.1185322386250707;A
2007;3023;Tasa de variación interanual;9.82744329487248;A
2007;3142;Tasa de variación interanual;10.976193707385784;A
2008;P1_C01;Tasa de variación interanual;2.7938224303274937;A
2008;2352;Tasa de variación interanual;6.984400927113593;A
2008;2402;Tasa de variación interanual;3.6004373190908554;A
2008;2482;Tasa de variación interanual;10.282156118808878;A
2008;2713;Tasa de variación interanual;-1.9363330473596891;A
2008;2797;Tasa de variación interanual;1.3553165750363034;A
2008;2911;Tasa de variación interanual;20.711348455646956;A
2008;3023;Tasa de variación interanual;0.5483188152032682;A
2008;3142;Tasa de variación interanual;1.8355495262935804;A
2009;P1_C01;Tasa de variación interanual;2.042772681369819;A
2009;2352;Tasa de variación interanual;3.5313150679714655;A
2009;2402;Tasa de variación interanual;4.809837618262257;A
2009;2482;Tasa de variación interanual;13.497516847541084;A
2009;2713;Tasa de variación interanual;8.47687740988994;A
2009;2797;Tasa de variación interanual;-4.181869155523201;A
2009;2911;Tasa de variación interanual;1.7276538715683107;A
2009;3023;Tasa de variación interanual;-5.258394193528152;A
2009;3142;Tasa de variación interanual;4.513081505729543;A
2010;P1_C01;Tasa de variación interanual;0.881305813857897;A
2010;2352;Tasa de variación interanual;-9.196399175761673;A
2010;2402;Tasa de variación interanual;12.364016747646183;A
2010;2482;Tasa de variación interanual;-13.271338735992789;A
2010;2713;Tasa de variación interanual;-1.1687893493766397;A
2010;2797;Tasa de variación interanual;-0.8004644374152206;A
2010;2911;Tasa de variación interanual;0.22351152339086292;A
2010;3023;Tasa de variación interanual;-3.241380639919647;A
2010;3142;Tasa de variación interanual;10.49432062788287;A
2011;P1_C01;Tasa de variación interanual;-0.28644910281477654;A
2011;2352;Tasa de variación interanual;-12.14848526668979;A
2011;2402;Tasa de variación interanual;-2.059709009490131;A
2011;2482;Tasa de variación interanual;-12.923963839060429;A
2011;2713;Tasa de variación interanual;-4.0959679858384686;A
2011;2797;Tasa de variación interanual;-0.7151837712725673;A
2011;2911;Tasa de variación interanual;8.793942350886432;A
2011;3023;Tasa de variación interanual;8.700735430384185;A
2011;3142;Tasa de variación interanual;-3.87933904089161;A
2012;P1_C01;Tasa de variación interanual;-1.188895623520463;A
2012;2352;Tasa de variación interanual;-4.749863190837531;A
2012;2402;Tasa de variación interanual;-3.444017889528037;A
2012;2482;Tasa de variación interanual;-6.743888110853925;A
2012;2713;Tasa de variación interanual;-8.273093049795403;A
2012;2797;Tasa de variación interanual;7.155622463865385;A
2012;2911;Tasa de variación interanual;6.22602074495686;A
2012;3023;Tasa de variación interanual;3.796233372189732;A
2012;3142;Tasa de variación interanual;1.2109062201720715;A
2013;P1_C01;Tasa de variación interanual;2.0575383377330074;A
2013;2352;Tasa de variación interanual;9.115575136946823;A
2013;2402;Tasa de variación interanual;-0.548850347442885;A
2013;2482;Tasa de variación interanual;4.55403342537417;A
2013;2713;Tasa de variación interanual;-0.49722668728451813;A
2013;2797;Tasa de variación interanual;8.717223688875984;A
2013;2911;Tasa de variación interanual;-4.673507806554594;A
2013;3023;Tasa de variación interanual;4.491400762378164;A
2013;3142;Tasa de variación interanual;0.18006983543871727;A
2014;P1_C01;Tasa de variación interanual;1.90688881638531;A
2014;2352;Tasa de variación interanual;8.609040159154436;A
2014;2402;Tasa de variación interanual;1.1882663916660474;A
2014;2482;Tasa de variación interanual;4.905626536471737;A
2014;2713;Tasa de variación interanual;-2.051378368249063;A
2014;2797;Tasa de variación interanual;0.7011208939041793;A
2014;2911;Tasa de variación interanual;3.153228974549835;A
2014;3023;Tasa de variación interanual;-0.3406145022262681;A
2014;3142;Tasa de variación interanual;6.480997977311979;A
2015;P1_C01;Tasa de variación interanual;1.9629736296841078;A
2015;2352;Tasa de variación interanual;0.36698694348928523;A
2015;2402;Tasa de variación interanual;1.1432743756120312;A
2015;2482;Tasa de variación interanual;-2.708672512229735;A
2015;2713;Tasa de variación interanual;2.4610366437522324;A
2015;2797;Tasa de variación interanual;-5.802546249284356;A
2015;2911;Tasa de variación interanual;-9.559305748877009;A
2015;3023;Tasa de variación interanual;-1.1908165926152587;A
2015;3142;Tasa de variación interanual;4.841182148254838;A
2016;P1_C01;Tasa de variación interanual;2.558865860857561;A
2016;2352;Tasa de variación interanual;7.539993267252125;A
2016;2402;Tasa de variación interanual;4.08437472179928;A
2016;2482;Tasa de variación interanual;5.2097402570310605;A
2016;2713;Tasa de variación interanual;3.380957425947057;A
2016;2797;Tasa de variación interanual;5.104874580958983;A
2016;2911;Tasa de variación interanual;5.211516125912605;A
2016;3023;Tasa de variación interanual;5.358551074867827;A
2016;3142;Tasa de variación interanual;-1.0753229038995444;A
2017;P1_C01;Tasa de variación interanual;2.146058331099759;A
2017;2352;Tasa de variación interanual;6.6536386585142955;A
2017;2402;Tasa de variación interanual;-0.5367027524306345;A
2017;2482;Tasa de variación interanual;5.4293912514489895;A
2017;2713;Tasa de variación interanual;0.6638338313603532;A
2017;2797;Tasa de variación interanual;6.845758164444797;A
2017;2911;Tasa de variación interanual;-10.649056713045663;A
2017;3023;Tasa de variación interanual;6.7408539981687525;A
2017;3142;Tasa de variación interanual;-3.5168103486348294;A
2018;P1_C01;Tasa de variación interanual;1.013040799718839;A
2018;2352;Tasa de variación interanual;1.9580316736808525;A
2018;2402;Tasa de variación interanual;1.9949149046804928;A
2018;2482;Tasa de variación interanual;2.867064718151726;A
2018;2713;Tasa de variación interanual;6.394785964118686;A
2018;2797;Tasa de variación interanual;0.6898699159630752;A
2018;2911;Tasa de variación interanual;3.5040628262868605;A
2018;3023;Tasa de variación interanual;-0.8301493913999252;A
2018;3142;Tasa de variación interanual;-3.6824612461022825;A
2019;P1_C01;Tasa de variación interanual;1.2119716032772272;A
2019;2352;Tasa de variación interanual;2.677905227109168;A
2019;2402;Tasa de variación interanual;8.710092050443246;A
2019;2482;Tasa de variación interanual;1.2200803307564312;A
2019;2713;Tasa de variación interanual;-1.5701561303550449;A
2019;2797;Tasa de variación interanual;-4.221530711668044;A
2019;2911;Tasa de variación interanual;-6.819260433828958;A
2019;3023;Tasa de variación interanual;3.122289462056086;A
2019;3142;Tasa de variación interanual;-3.8866861987502332;A
2020;P1_C01;Tasa de variación interanual;-5.838055216922441;A
2020;2352;Tasa de variación interanual;-5.038259660301617;A
2020;2402;Tasa de variación interanual;-6.646098842753867;A
2020;2482;Tasa de variación interanual;0.7120551274552258;A
2020;2713;Tasa de variación interanual;-7.771033444396486;A
2020;2797;Tasa de variación interanual;-6.751614734104283;A
2020;2911;Tasa de variación interanual;-7.697913034865713;A
2020;3023;Tasa de variación interanual;-10.717163342091538;A
2020;3142;Tasa de variación interanual;-4.055075387721926;A
2021;P1_C01;Tasa de variación interanual;7.7517716093464974;A
2021;2352;Tasa de variación interanual;7.510164252816132;A
2021;2402;Tasa de variación interanual;8.692431271249589;A
2021;2482;Tasa de variación interanual;2.348043143839444;A
2021;2713;Tasa de variación interanual;5.296755424282614;A
2021;2797;Tasa de variación interanual;11.622087254008798;A
2021;2911;Tasa de variación interanual;1.739188909658929;A
2021;3023;Tasa de variación interanual;15.727099878654924;A
2021;3142;Tasa de variación interanual;3.5313597499855605;A
