LUG_DEF;MES;D_G102_0;SEXO;TIME_PERIOD;REF_AREA;INDICATOR;OBS_VALUE;FREQ;EDAD;CIE10;G102_OTRAS_CAUSAS
838405;55917;;F;2020;ES61;DEATHS;1708.0;A;_Z;_Z;_Z
838405;55917;;_T;2020;ES61;DEATHS;3752.0;A;_Z;_Z;_Z
838405;55918;838410;M;2020;ES61;DEATHS;947.0;A;_Z;_Z;_Z
838405;55918;838410;F;2020;ES61;DEATHS;697.0;A;_Z;_Z;_Z
838405;55918;838410;_T;2020;ES61;DEATHS;1644.0;A;_Z;_Z;_Z
838405;55918;838411;M;2020;ES61;DEATHS;11.0;A;_Z;_Z;_Z
838405;55918;838411;F;2020;ES61;DEATHS;8.0;A;_Z;_Z;_Z
838405;55918;838411;_T;2020;ES61;DEATHS;19.0;A;_Z;_Z;_Z
838405;55918;57731;M;2020;ES61;DEATHS;1410.0;A;_Z;_Z;_Z
838405;55918;57731;F;2020;ES61;DEATHS;1220.0;A;_Z;_Z;_Z
838405;55918;57731;_T;2020;ES61;DEATHS;2630.0;A;_Z;_Z;_Z
838405;55918;;M;2020;ES61;DEATHS;2368.0;A;_Z;_Z;_Z
838405;55918;;F;2020;ES61;DEATHS;1925.0;A;_Z;_Z;_Z
838405;55918;;_T;2020;ES61;DEATHS;4293.0;A;_Z;_Z;_Z
838405;55919;838410;M;2020;ES61;DEATHS;405.0;A;_Z;_Z;_Z
838405;55919;838410;F;2020;ES61;DEATHS;278.0;A;_Z;_Z;_Z
838405;55919;838410;_T;2020;ES61;DEATHS;683.0;A;_Z;_Z;_Z
838405;55919;838411;M;2020;ES61;DEATHS;13.0;A;_Z;_Z;_Z
838405;55919;838411;F;2020;ES61;DEATHS;4.0;A;_Z;_Z;_Z
838405;55919;838411;_T;2020;ES61;DEATHS;17.0;A;_Z;_Z;_Z
838405;55919;57731;M;2020;ES61;DEATHS;1621.0;A;_Z;_Z;_Z
838405;55919;57731;F;2020;ES61;DEATHS;1350.0;A;_Z;_Z;_Z
838405;55919;57731;_T;2020;ES61;DEATHS;2971.0;A;_Z;_Z;_Z
838405;55919;;M;2020;ES61;DEATHS;2039.0;A;_Z;_Z;_Z
838405;55919;;F;2020;ES61;DEATHS;1632.0;A;_Z;_Z;_Z
838405;55919;;_T;2020;ES61;DEATHS;3671.0;A;_Z;_Z;_Z
838405;55920;838410;M;2020;ES61;DEATHS;2759.0;A;_Z;_Z;_Z
838405;55920;838410;F;2020;ES61;DEATHS;2041.0;A;_Z;_Z;_Z
