TEMPORAL;EDAD;TERRITORIO;SEXO;RELAC_RESID_NAC;INDICATOR;OBS_VALUE;FREQ
2016;Y1-4;ES61;M;53588;HAB;213163.0;A
2016;Y1-4;ES61;M;53583;HAB;173181.0;A
2016;Y1-4;ES61;M;53584;HAB;29620.0;A
2016;Y1-4;ES61;M;53585;HAB;3702.0;A
2016;Y1-4;ES61;M;53586;HAB;3099.0;A
2016;Y1-4;ES61;M;53587;HAB;3561.0;A
2016;Y1-4;ES61;F;53588;HAB;201268.0;A
2016;Y1-4;ES61;F;53583;HAB;163452.0;A
2016;Y1-4;ES61;F;53584;HAB;28173.0;A
2016;Y1-4;ES61;F;53585;HAB;3546.0;A
2016;Y1-4;ES61;F;53586;HAB;2806.0;A
2016;Y1-4;ES61;F;53587;HAB;3291.0;A
2016;Y1-4;ES611;_T;53588;HAB;39376.0;A
2016;Y1-4;ES611;_T;53583;HAB;30806.0;A
2016;Y1-4;ES611;_T;53584;HAB;6074.0;A
2016;Y1-4;ES611;_T;53585;HAB;706.0;A
2016;Y1-4;ES611;_T;53586;HAB;738.0;A
2016;Y1-4;ES611;_T;53587;HAB;1052.0;A
2016;Y1-4;ES611;M;53588;HAB;20299.0;A
2016;Y1-4;ES611;M;53583;HAB;15883.0;A
2016;Y1-4;ES611;M;53584;HAB;3104.0;A
2016;Y1-4;ES611;M;53585;HAB;355.0;A
2016;Y1-4;ES611;M;53586;HAB;386.0;A
2016;Y1-4;ES611;M;53587;HAB;571.0;A
2016;Y1-4;ES611;F;53588;HAB;19077.0;A
2016;Y1-4;ES611;F;53583;HAB;14923.0;A
2016;Y1-4;ES611;F;53584;HAB;2970.0;A
2016;Y1-4;ES611;F;53585;HAB;351.0;A
2016;Y1-4;ES611;F;53586;HAB;352.0;A
2016;Y1-4;ES611;F;53587;HAB;481.0;A
2016;Y1-4;ES612;_T;53588;HAB;60800.0;A
2016;Y1-4;ES612;_T;53583;HAB;53194.0;A
2016;Y1-4;ES612;_T;53584;HAB;4787.0;A
2016;Y1-4;ES612;_T;53585;HAB;1149.0;A
2016;Y1-4;ES612;_T;53586;HAB;928.0;A
2016;Y1-4;ES612;_T;53587;HAB;742.0;A
2016;Y1-4;ES612;M;53588;HAB;31214.0;A
2016;Y1-4;ES612;M;53583;HAB;27347.0;A
2016;Y1-4;ES612;M;53584;HAB;2455.0;A
2016;Y1-4;ES612;M;53585;HAB;572.0;A
2016;Y1-4;ES612;M;53586;HAB;470.0;A
2016;Y1-4;ES612;M;53587;HAB;370.0;A
2016;Y1-4;ES612;F;53588;HAB;29586.0;A
2016;Y1-4;ES612;F;53583;HAB;25847.0;A
2016;Y1-4;ES612;F;53584;HAB;2332.0;A
2016;Y1-4;ES612;F;53585;HAB;577.0;A
2016;Y1-4;ES612;F;53586;HAB;458.0;A
2016;Y1-4;ES612;F;53587;HAB;372.0;A
2016;Y1-4;ES613;_T;53588;HAB;36217.0;A
2016;Y1-4;ES613;_T;53583;HAB;33211.0;A
2016;Y1-4;ES613;_T;53584;HAB;1720.0;A
2016;Y1-4;ES613;_T;53585;HAB;591.0;A
2016;Y1-4;ES613;_T;53586;HAB;406.0;A
2016;Y1-4;ES613;_T;53587;HAB;289.0;A
2016;Y1-4;ES613;M;53588;HAB;18650.0;A
2016;Y1-4;ES613;M;53583;HAB;17110.0;A
2016;Y1-4;ES613;M;53584;HAB;870.0;A
2016;Y1-4;ES613;M;53585;HAB;298.0;A
2016;Y1-4;ES613;M;53586;HAB;221.0;A
2016;Y1-4;ES613;M;53587;HAB;151.0;A
2016;Y1-4;ES613;F;53588;HAB;17567.0;A
2016;Y1-4;ES613;F;53583;HAB;16101.0;A
2016;Y1-4;ES613;F;53584;HAB;850.0;A
2016;Y1-4;ES613;F;53585;HAB;293.0;A
2016;Y1-4;ES613;F;53586;HAB;185.0;A
2016;Y1-4;ES613;F;53587;HAB;138.0;A
2016;Y1-4;ES614;_T;53588;HAB;41849.0;A
2016;Y1-4;ES614;_T;53583;HAB;30543.0;A
2016;Y1-4;ES614;_T;53584;HAB;9200.0;A
2016;Y1-4;ES614;_T;53585;HAB;777.0;A
2016;Y1-4;ES614;_T;53586;HAB;651.0;A
2016;Y1-4;ES614;_T;53587;HAB;678.0;A
2016;Y1-4;ES614;M;53588;HAB;21721.0;A
2016;Y1-4;ES614;M;53583;HAB;15862.0;A
2016;Y1-4;ES614;M;53584;HAB;4774.0;A
2016;Y1-4;ES614;M;53585;HAB;398.0;A
2016;Y1-4;ES614;M;53586;HAB;343.0;A
2016;Y1-4;ES614;M;53587;HAB;344.0;A
2016;Y1-4;ES614;F;53588;HAB;20128.0;A
2016;Y1-4;ES614;F;53583;HAB;14681.0;A
2016;Y1-4;ES614;F;53584;HAB;4426.0;A
2016;Y1-4;ES614;F;53585;HAB;379.0;A
2016;Y1-4;ES614;F;53586;HAB;308.0;A
2016;Y1-4;ES614;F;53587;HAB;334.0;A
2016;Y1-4;ES615;_T;53588;HAB;25461.0;A
2016;Y1-4;ES615;_T;53583;HAB;20127.0;A
2016;Y1-4;ES615;_T;53584;HAB;3943.0;A
2016;Y1-4;ES615;_T;53585;HAB;687.0;A
2016;Y1-4;ES615;_T;53586;HAB;326.0;A
2016;Y1-4;ES615;_T;53587;HAB;378.0;A
2016;Y1-4;ES615;M;53588;HAB;13044.0;A
2016;Y1-4;ES615;M;53583;HAB;10306.0;A
2016;Y1-4;ES615;M;53584;HAB;2019.0;A
2016;Y1-4;ES615;M;53585;HAB;357.0;A
2016;Y1-4;ES615;M;53586;HAB;175.0;A
2016;Y1-4;ES615;M;53587;HAB;187.0;A
2016;Y1-4;ES615;F;53588;HAB;12417.0;A
2016;Y1-4;ES615;F;53583;HAB;9821.0;A
2016;Y1-4;ES615;F;53584;HAB;1924.0;A
2016;Y1-4;ES615;F;53585;HAB;330.0;A
2016;Y1-4;ES615;F;53586;HAB;151.0;A
2016;Y1-4;ES615;F;53587;HAB;191.0;A
2016;Y1-4;ES616;_T;53588;HAB;27990.0;A
2016;Y1-4;ES616;_T;53583;HAB;24677.0;A
2016;Y1-4;ES616;_T;53584;HAB;2119.0;A
2016;Y1-4;ES616;_T;53585;HAB;570.0;A
2016;Y1-4;ES616;_T;53586;HAB;434.0;A
2016;Y1-4;ES616;_T;53587;HAB;190.0;A
2016;Y1-4;ES616;M;53588;HAB;14346.0;A
2016;Y1-4;ES616;M;53583;HAB;12660.0;A
2016;Y1-4;ES616;M;53584;HAB;1083.0;A
2016;Y1-4;ES616;M;53585;HAB;287.0;A
2016;Y1-4;ES616;M;53586;HAB;221.0;A
2016;Y1-4;ES616;M;53587;HAB;95.0;A
2016;Y1-4;ES616;F;53588;HAB;13644.0;A
2016;Y1-4;ES616;F;53583;HAB;12017.0;A
2016;Y1-4;ES616;F;53584;HAB;1036.0;A
2016;Y1-4;ES616;F;53585;HAB;283.0;A
2016;Y1-4;ES616;F;53586;HAB;213.0;A
2016;Y1-4;ES616;F;53587;HAB;95.0;A
2016;Y1-4;ES617;_T;53588;HAB;80743.0;A
2016;Y1-4;ES617;_T;53583;HAB;63046.0;A
2016;Y1-4;ES617;_T;53584;HAB;12339.0;A
2016;Y1-4;ES617;_T;53585;HAB;1429.0;A
2016;Y1-4;ES617;_T;53586;HAB;1356.0;A
2016;Y1-4;ES617;_T;53587;HAB;2573.0;A
2016;Y1-4;ES617;M;53588;HAB;41447.0;A
2016;Y1-4;ES617;M;53583;HAB;32389.0;A
2016;Y1-4;ES617;M;53584;HAB;6247.0;A
2016;Y1-4;ES617;M;53585;HAB;739.0;A
2016;Y1-4;ES617;M;53586;HAB;712.0;A
2016;Y1-4;ES617;M;53587;HAB;1360.0;A
2016;Y1-4;ES617;F;53588;HAB;39296.0;A
