TEMPORAL;NACIONALIDAD;TERRITORIO;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2021;OTHER_SPAIN;ES614;_T;Y1-4;HAB;3058.0;A
2021;OTHER_SPAIN;ES614;_T;Y5-9;HAB;3031.0;A
2021;OTHER_SPAIN;ES614;_T;Y10-14;HAB;2667.0;A
2021;OTHER_SPAIN;ES614;_T;Y15-19;HAB;3186.0;A
2021;OTHER_SPAIN;ES614;_T;Y20-24;HAB;4782.0;A
2021;OTHER_SPAIN;ES614;_T;Y25-29;HAB;6267.0;A
2021;OTHER_SPAIN;ES614;_T;Y30-34;HAB;7515.0;A
2021;OTHER_SPAIN;ES614;_T;Y35-39;HAB;7935.0;A
2021;OTHER_SPAIN;ES614;_T;Y40-44;HAB;7414.0;A
2021;OTHER_SPAIN;ES614;_T;Y45-49;HAB;5597.0;A
2021;OTHER_SPAIN;ES614;_T;Y50-54;HAB;4461.0;A
2021;OTHER_SPAIN;ES614;_T;Y55-59;HAB;3382.0;A
2021;OTHER_SPAIN;ES614;_T;Y60-64;HAB;2619.0;A
2021;OTHER_SPAIN;ES614;_T;Y65-69;HAB;2174.0;A
2021;OTHER_SPAIN;ES614;_T;Y70-74;HAB;1637.0;A
2021;OTHER_SPAIN;ES614;_T;Y75-79;HAB;923.0;A
2021;OTHER_SPAIN;ES614;_T;Y80-84;HAB;482.0;A
2021;OTHER_SPAIN;ES614;_T;Y85-89;HAB;170.0;A
2021;OTHER_SPAIN;ES614;_T;Y90-94;HAB;64.0;A
2021;OTHER_SPAIN;ES614;_T;Y95-99;HAB;10.0;A
2021;OTHER_SPAIN;ES614;M;TOTAL;HAB;34806.0;A
2021;OTHER_SPAIN;ES614;M;Y1-4;HAB;1500.0;A
2021;OTHER_SPAIN;ES614;M;Y5-9;HAB;1551.0;A
2021;OTHER_SPAIN;ES614;M;Y10-14;HAB;1402.0;A
2021;OTHER_SPAIN;ES614;M;Y15-19;HAB;1866.0;A
2021;OTHER_SPAIN;ES614;M;Y20-24;HAB;2630.0;A
2021;OTHER_SPAIN;ES614;M;Y25-29;HAB;3245.0;A
2021;OTHER_SPAIN;ES614;M;Y30-34;HAB;3803.0;A
2021;OTHER_SPAIN;ES614;M;Y35-39;HAB;4016.0;A
2021;OTHER_SPAIN;ES614;M;Y40-44;HAB;3983.0;A
2021;OTHER_SPAIN;ES614;M;Y45-49;HAB;2897.0;A
2021;OTHER_SPAIN;ES614;M;Y50-54;HAB;2227.0;A
2021;OTHER_SPAIN;ES614;M;Y55-59;HAB;1688.0;A
2021;OTHER_SPAIN;ES614;M;Y60-64;HAB;1301.0;A
2021;OTHER_SPAIN;ES614;M;Y65-69;HAB;1066.0;A
2021;OTHER_SPAIN;ES614;M;Y70-74;HAB;824.0;A
2021;OTHER_SPAIN;ES614;M;Y75-79;HAB;479.0;A
2021;OTHER_SPAIN;ES614;M;Y80-84;HAB;229.0;A
2021;OTHER_SPAIN;ES614;M;Y85-89;HAB;75.0;A
2021;OTHER_SPAIN;ES614;M;Y90-94;HAB;22.0;A
2021;OTHER_SPAIN;ES614;M;Y95-99;HAB;2.0;A
2021;OTHER_SPAIN;ES614;F;TOTAL;HAB;32568.0;A
2021;OTHER_SPAIN;ES614;F;Y1-4;HAB;1558.0;A
2021;OTHER_SPAIN;ES614;F;Y5-9;HAB;1480.0;A
2021;OTHER_SPAIN;ES614;F;Y10-14;HAB;1265.0;A
2021;OTHER_SPAIN;ES614;F;Y15-19;HAB;1320.0;A
2021;OTHER_SPAIN;ES614;F;Y20-24;HAB;2152.0;A
2021;OTHER_SPAIN;ES614;F;Y25-29;HAB;3022.0;A
2021;OTHER_SPAIN;ES614;F;Y30-34;HAB;3712.0;A
2021;OTHER_SPAIN;ES614;F;Y35-39;HAB;3919.0;A
