TEMPORAL;EDAD;TERRITORIO;LUG_NAC_PADRON;SEXO;INDICATOR;OBS_VALUE;FREQ
2021;TOTAL;2496;53700;_T;HAB;4722.0;A
2021;TOTAL;2496;53700;M;HAB;2399.0;A
2021;TOTAL;2496;53700;F;HAB;2323.0;A
2021;TOTAL;2496;54560;_T;HAB;4557.0;A
2021;TOTAL;2496;54560;M;HAB;2317.0;A
2021;TOTAL;2496;54560;F;HAB;2240.0;A
2021;TOTAL;2496;53809;_T;HAB;18.0;A
2021;TOTAL;2496;53809;M;HAB;10.0;A
2021;TOTAL;2496;53809;F;HAB;8.0;A
2021;TOTAL;2496;53855;_T;HAB;4.0;A
2021;TOTAL;2496;53855;M;HAB;2.0;A
2021;TOTAL;2496;53855;F;HAB;2.0;A
2021;TOTAL;2496;53933;_T;HAB;9.0;A
2021;TOTAL;2496;53933;M;HAB;3.0;A
2021;TOTAL;2496;53933;F;HAB;6.0;A
2021;TOTAL;2496;54155;_T;HAB;4272.0;A
2021;TOTAL;2496;54155;M;HAB;2180.0;A
2021;TOTAL;2496;54155;F;HAB;2092.0;A
2021;TOTAL;2496;54236;_T;HAB;4.0;A
2021;TOTAL;2496;54236;M;HAB;2.0;A
2021;TOTAL;2496;54236;F;HAB;2.0;A
2021;TOTAL;2496;54344;_T;HAB;20.0;A
2021;TOTAL;2496;54344;M;HAB;10.0;A
2021;TOTAL;2496;54344;F;HAB;10.0;A
2021;TOTAL;2496;54452;_T;HAB;223.0;A
2021;TOTAL;2496;54452;M;HAB;105.0;A
2021;TOTAL;2496;54452;F;HAB;118.0;A
2021;TOTAL;2496;54559;_T;HAB;7.0;A
2021;TOTAL;2496;54559;M;HAB;5.0;A
2021;TOTAL;2496;54559;F;HAB;2.0;A
2021;TOTAL;2496;54565;_T;HAB;165.0;A
2021;TOTAL;2496;54565;M;HAB;82.0;A
2021;TOTAL;2496;54565;F;HAB;83.0;A
2021;TOTAL;2496;54887;_T;HAB;945.0;A
2021;TOTAL;2496;54887;M;HAB;595.0;A
2021;TOTAL;2496;54887;F;HAB;350.0;A
2021;TOTAL;2497;54888;_T;HAB;9674.0;A
2021;TOTAL;2497;54888;M;HAB;4900.0;A
2021;TOTAL;2497;54888;F;HAB;4774.0;A
2021;TOTAL;2497;53700;_T;HAB;8931.0;A
2021;TOTAL;2497;53700;M;HAB;4557.0;A
2021;TOTAL;2497;53700;F;HAB;4374.0;A
2021;TOTAL;2497;54560;_T;HAB;8206.0;A
2021;TOTAL;2497;54560;M;HAB;4181.0;A
2021;TOTAL;2497;54560;F;HAB;4025.0;A
2021;TOTAL;2497;53809;_T;HAB;90.0;A
2021;TOTAL;2497;53809;M;HAB;42.0;A
2021;TOTAL;2497;53809;F;HAB;48.0;A
2021;TOTAL;2497;53855;_T;HAB;60.0;A
2021;TOTAL;2497;53855;M;HAB;28.0;A
