D_TEMPORAL_0;D_SEXO_0;D_AA_TIPODEHOGAR_0;D_AA_TERRITROIO_0;INDICATOR;OBS_VALUE;FREQ
2020;3690;515762;516751;Número de autónomos;2750.0;A
2020;3690;515762;516752;Número de autónomos;3300.0;A
2020;3690;515762;516753;Número de autónomos;9050.0;A
2020;3690;515762;516754;Número de autónomos;11125.0;A
2020;3690;515762;515892;Número de autónomos;45100.0;A
2020;3690;515760;516728;Número de autónomos;10650.0;A
2020;3690;515760;516748;Número de autónomos;8625.0;A
2020;3690;515760;516749;Número de autónomos;8800.0;A
2020;3690;515760;516750;Número de autónomos;8800.0;A
2020;3690;515760;516751;Número de autónomos;4025.0;A
2020;3690;515760;516752;Número de autónomos;6875.0;A
2020;3690;515760;516753;Número de autónomos;18525.0;A
2020;3690;515760;516754;Número de autónomos;18875.0;A
2020;3690;515760;515892;Número de autónomos;85500.0;A
2020;3690;515763;516728;Número de autónomos;7375.0;A
2020;3690;515763;516748;Número de autónomos;6050.0;A
2020;3690;515763;516749;Número de autónomos;6100.0;A
2020;3690;515763;516750;Número de autónomos;5750.0;A
2020;3690;515763;516751;Número de autónomos;2950.0;A
2020;3690;515763;516752;Número de autónomos;4950.0;A
2020;3690;515763;516753;Número de autónomos;11100.0;A
2020;3690;515763;516754;Número de autónomos;12675.0;A
2020;3690;515763;515892;Número de autónomos;57125.0;A
2020;3690;515764;516728;Número de autónomos;3275.0;A
2020;3690;515764;516748;Número de autónomos;2575.0;A
2020;3690;515764;516749;Número de autónomos;2700.0;A
2020;3690;515764;516750;Número de autónomos;3050.0;A
2020;3690;515764;516751;Número de autónomos;1075.0;A
2020;3690;515764;516752;Número de autónomos;1925.0;A
2020;3690;515764;516753;Número de autónomos;7425.0;A
2020;3690;515764;516754;Número de autónomos;6200.0;A
2020;3690;515764;515892;Número de autónomos;28375.0;A
2020;3690;516585;516728;Número de autónomos;*;A
2020;3690;516585;516748;Número de autónomos;*;A
2020;3690;516585;516749;Número de autónomos;*;A
2020;3690;516585;516750;Número de autónomos;500.0;A
2020;3690;516585;516751;Número de autónomos;*;A
2020;3690;516585;516752;Número de autónomos;*;A
2020;3690;516585;516753;Número de autónomos;1750.0;A
2020;3690;516585;516754;Número de autónomos;575.0;A
2020;3690;516585;515892;Número de autónomos;3950.0;A
2020;3690;515755;516728;Número de autónomos;25375.0;A
2020;3690;515755;516748;Número de autónomos;24075.0;A
2020;3690;515755;516749;Número de autónomos;19525.0;A
2020;3690;515755;516750;Número de autónomos;25000.0;A
2020;3690;515755;516751;Número de autónomos;11275.0;A
2020;3690;515755;516752;Número de autónomos;15725.0;A
2020;3690;515755;516753;Número de autónomos;49100.0;A
2020;3690;515755;516754;Número de autónomos;44800.0;A
2020;3690;515755;515892;Número de autónomos;216450.0;A
2020;3691;515756;516728;Número de autónomos;11175.0;A
2020;3691;515756;516748;Número de autónomos;12750.0;A
2020;3691;515756;516749;Número de autónomos;6850.0;A
2020;3691;515756;516750;Número de autónomos;15625.0;A
2020;3691;515756;516751;Número de autónomos;6650.0;A
2020;3691;515756;516752;Número de autónomos;6875.0;A
2020;3691;515756;516753;Número de autónomos;23425.0;A
2020;3691;515756;516754;Número de autónomos;16200.0;A
2020;3691;515756;515892;Número de autónomos;100350.0;A
2020;3691;515757;516728;Número de autónomos;9425.0;A
2020;3691;515757;516748;Número de autónomos;11050.0;A
2020;3691;515757;516749;Número de autónomos;6000.0;A
2020;3691;515757;516750;Número de autónomos;13625.0;A
