D_TEMPORAL_0;D_SEXO_0;D_MES_0;D_AA_TERRITROIO_0;D_AA_TIPOMOVIMIEN_0;INDICATOR;OBS_VALUE;FREQ
2019;3691;55917;515892;515927;Número de movimientos;8950.0;A
2019;3691;55918;516728;515927;Número de movimientos;1100.0;A
2019;3691;55918;516748;515927;Número de movimientos;1050.0;A
2019;3691;55918;516749;515927;Número de movimientos;675.0;A
2019;3691;55918;516750;515927;Número de movimientos;1025.0;A
2019;3691;55918;516751;515927;Número de movimientos;*;A
2019;3691;55918;516752;515927;Número de movimientos;675.0;A
2019;3691;55918;516753;515927;Número de movimientos;1875.0;A
2019;3691;55918;516754;515927;Número de movimientos;1500.0;A
2019;3691;55918;515892;515927;Número de movimientos;8300.0;A
2019;3691;55919;516728;515927;Número de movimientos;1000.0;A
2019;3691;55919;516748;515927;Número de movimientos;1575.0;A
2019;3691;55919;516749;515927;Número de movimientos;1050.0;A
2019;3691;55919;516750;515927;Número de movimientos;1175.0;A
2019;3691;55919;516751;515927;Número de movimientos;550.0;A
2019;3691;55919;516752;515927;Número de movimientos;875.0;A
2019;3691;55919;516753;515927;Número de movimientos;2925.0;A
2019;3691;55919;516754;515927;Número de movimientos;2075.0;A
2019;3691;55919;515892;515927;Número de movimientos;11275.0;A
2019;3691;55920;516728;515927;Número de movimientos;9225.0;A
2019;3691;55920;516748;515927;Número de movimientos;13575.0;A
2019;3691;55920;516749;515927;Número de movimientos;9950.0;A
2019;3691;55920;516750;515927;Número de movimientos;13250.0;A
2019;3691;55920;516751;515927;Número de movimientos;6250.0;A
2019;3691;55920;516752;515927;Número de movimientos;8050.0;A
2019;3691;55920;516753;515927;Número de movimientos;25000.0;A
2019;3691;55920;516754;515927;Número de movimientos;21725.0;A
2019;3691;55920;515892;515927;Número de movimientos;107575.0;A
2020;3689;55908;516728;515927;Número de movimientos;*;A
2020;3689;55908;516748;515927;Número de movimientos;750.0;A
2020;3689;55908;516749;515927;Número de movimientos;*;A
2020;3689;55908;516750;515927;Número de movimientos;725.0;A
2020;3689;55908;516751;515927;Número de movimientos;*;A
2020;3689;55908;516752;515927;Número de movimientos;*;A
2020;3689;55908;516753;515927;Número de movimientos;825.0;A
2020;3689;55908;516754;515927;Número de movimientos;950.0;A
2020;3689;55908;515892;515927;Número de movimientos;4875.0;A
2020;3689;55909;516728;515927;Número de movimientos;*;A
2020;3689;55909;516748;515927;Número de movimientos;550.0;A
2020;3689;55909;516749;515927;Número de movimientos;*;A
2020;3689;55909;516750;515927;Número de movimientos;*;A
2020;3689;55909;516751;515927;Número de movimientos;*;A
2020;3689;55909;516752;515927;Número de movimientos;*;A
2020;3689;55909;516753;515927;Número de movimientos;1250.0;A
2020;3689;55909;516754;515927;Número de movimientos;650.0;A
2020;3689;55909;515892;515927;Número de movimientos;4050.0;A
2020;3689;55910;516728;515927;Número de movimientos;700.0;A
2020;3689;55910;516748;515927;Número de movimientos;1400.0;A
2020;3689;55910;516749;515927;Número de movimientos;825.0;A
2020;3689;55910;516750;515927;Número de movimientos;1150.0;A
2020;3689;55910;516751;515927;Número de movimientos;*;A
2020;3689;55910;516752;515927;Número de movimientos;625.0;A
2020;3689;55910;516753;515927;Número de movimientos;2375.0;A
2020;3689;55910;516754;515927;Número de movimientos;1800.0;A
2020;3689;55910;515892;515927;Número de movimientos;9425.0;A
2020;3689;55911;516728;515927;Número de movimientos;*;A
2020;3689;55911;516748;515927;Número de movimientos;*;A
2020;3689;55911;516749;515927;Número de movimientos;*;A
2020;3689;55911;516750;515927;Número de movimientos;*;A
2020;3689;55911;516751;515927;Número de movimientos;*;A
2020;3689;55911;516752;515927;Número de movimientos;*;A
2020;3689;55911;516753;515927;Número de movimientos;525.0;A
2020;3689;55911;516754;515927;Número de movimientos;*;A
2020;3689;55911;515892;515927;Número de movimientos;2850.0;A
2020;3689;55912;516728;515927;Número de movimientos;*;A
2020;3689;55912;516748;515927;Número de movimientos;*;A
2020;3689;55912;516749;515927;Número de movimientos;*;A
2020;3689;55912;516750;515927;Número de movimientos;*;A
2020;3689;55912;516751;515927;Número de movimientos;*;A
2020;3689;55912;516752;515927;Número de movimientos;*;A
2020;3689;55912;516753;515927;Número de movimientos;*;A
2020;3689;55912;516754;515927;Número de movimientos;*;A
2020;3689;55912;515892;515927;Número de movimientos;2075.0;A
2020;3689;55913;516728;515927;Número de movimientos;*;A
2020;3689;55913;516748;515927;Número de movimientos;*;A
2020;3689;55913;516749;515927;Número de movimientos;*;A
2020;3689;55913;516750;515927;Número de movimientos;*;A
2020;3689;55913;516751;515927;Número de movimientos;*;A
2020;3689;55913;516752;515927;Número de movimientos;*;A
2020;3689;55913;516753;515927;Número de movimientos;1000.0;A
2020;3689;55913;516754;515927;Número de movimientos;800.0;A
2020;3689;55913;515892;515927;Número de movimientos;3850.0;A
2020;3689;55914;516728;515927;Número de movimientos;*;A
2020;3689;55914;516748;515927;Número de movimientos;500.0;A
2020;3689;55914;516749;515927;Número de movimientos;*;A
2020;3689;55914;516750;515927;Número de movimientos;625.0;A
2020;3689;55914;516751;515927;Número de movimientos;*;A
2020;3689;55914;516752;515927;Número de movimientos;*;A
2020;3689;55914;516753;515927;Número de movimientos;950.0;A
2020;3689;55914;516754;515927;Número de movimientos;750.0;A
2020;3689;55914;515892;515927;Número de movimientos;4375.0;A
2020;3689;55915;516728;515927;Número de movimientos;*;A
2020;3689;55915;516748;515927;Número de movimientos;550.0;A
2020;3689;55915;516749;515927;Número de movimientos;*;A
2020;3689;55915;516750;515927;Número de movimientos;*;A
2020;3689;55915;516751;515927;Número de movimientos;*;A
2020;3689;55915;516752;515927;Número de movimientos;*;A
2020;3689;55915;516753;515927;Número de movimientos;750.0;A
2020;3689;55915;516754;515927;Número de movimientos;900.0;A
2020;3689;55915;515892;515927;Número de movimientos;3825.0;A
2020;3689;55916;516728;515927;Número de movimientos;600.0;A
2020;3689;55916;516748;515927;Número de movimientos;875.0;A
2020;3689;55916;516749;515927;Número de movimientos;550.0;A
2020;3689;55916;516750;515927;Número de movimientos;775.0;A
2020;3689;55916;516751;515927;Número de movimientos;500.0;A
2020;3689;55916;516752;515927;Número de movimientos;500.0;A
2020;3689;55916;516753;515927;Número de movimientos;1625.0;A
2020;3689;55916;516754;515927;Número de movimientos;900.0;A
2020;3689;55916;515892;515927;Número de movimientos;6325.0;A
2020;3689;55917;516728;515927;Número de movimientos;*;A
2020;3689;55917;516748;515927;Número de movimientos;*;A
2020;3689;55917;516749;515927;Número de movimientos;*;A
2020;3689;55917;516750;515927;Número de movimientos;575.0;A
2020;3689;55917;516751;515927;Número de movimientos;*;A
2020;3689;55917;516752;515927;Número de movimientos;*;A
2020;3689;55917;516753;515927;Número de movimientos;850.0;A
2020;3689;55917;516754;515927;Número de movimientos;625.0;A
2020;3689;55917;515892;515927;Número de movimientos;3800.0;A
2020;3689;55918;516728;515927;Número de movimientos;*;A
2020;3689;55918;516748;515927;Número de movimientos;775.0;A
2020;3689;55918;516749;515927;Número de movimientos;*;A
2020;3689;55918;516750;515927;Número de movimientos;*;A
2020;3689;55918;516751;515927;Número de movimientos;*;A
2020;3689;55918;516752;515927;Número de movimientos;600.0;A
2020;3689;55918;516753;515927;Número de movimientos;1225.0;A
2020;3689;55918;516754;515927;Número de movimientos;1025.0;A
2020;3689;55918;515892;515927;Número de movimientos;4875.0;A
2020;3689;55919;516728;515927;Número de movimientos;*;A
2020;3689;55919;516748;515927;Número de movimientos;600.0;A
2020;3689;55919;516749;515927;Número de movimientos;500.0;A
2020;3689;55919;516750;515927;Número de movimientos;575.0;A
2020;3689;55919;516751;515927;Número de movimientos;*;A
2020;3689;55919;516752;515927;Número de movimientos;*;A
2020;3689;55919;516753;515927;Número de movimientos;1475.0;A
2020;3689;55919;516754;515927;Número de movimientos;850.0;A
2020;3689;55919;515892;515927;Número de movimientos;5025.0;A
2020;3689;55920;516728;515927;Número de movimientos;4575.0;A
2020;3689;55920;516748;515927;Número de movimientos;7425.0;A
2020;3689;55920;516749;515927;Número de movimientos;5000.0;A
2020;3689;55920;516750;515927;Número de movimientos;6650.0;A
2020;3689;55920;516751;515927;Número de movimientos;3600.0;A
2020;3689;55920;516752;515927;Número de movimientos;4325.0;A
2020;3689;55920;516753;515927;Número de movimientos;13250.0;A
2020;3689;55920;516754;515927;Número de movimientos;10025.0;A
2020;3689;55920;515892;515927;Número de movimientos;55350.0;A
2020;3690;55908;516728;515927;Número de movimientos;*;A
2020;3690;55908;516748;515927;Número de movimientos;575.0;A
2020;3690;55908;516749;515927;Número de movimientos;*;A
2020;3690;55908;516750;515927;Número de movimientos;*;A
2020;3690;55908;516751;515927;Número de movimientos;*;A
