D_TEMPORAL_0;D_SEXO_0;D_AA_SITPREVULTEM_0;D_AA_TERRITROIO_0;INDICATOR;OBS_VALUE;FREQ
2020;3691;518714;516754;Número de autónomos;15775.0;A
2020;3691;518714;515892;Número de autónomos;67850.0;A
2020;3691;7196;516728;Número de autónomos;66975.0;A
2020;3691;7196;516748;Número de autónomos;70000.0;A
2020;3691;7196;516749;Número de autónomos;56650.0;A
2020;3691;7196;516750;Número de autónomos;72450.0;A
2020;3691;7196;516751;Número de autónomos;33275.0;A
2020;3691;7196;516752;Número de autónomos;45800.0;A
2020;3691;7196;516753;Número de autónomos;135075.0;A
2020;3691;7196;516754;Número de autónomos;125275.0;A
2020;3691;7196;515892;Número de autónomos;609750.0;A
