MACROECO,TIME_PERIOD,OBS_STATUS,REF_AREA,INDICATOR,OBS_VALUE,FREQ,CNAE_CRA_NEW
93072,2011,A,3143,TAS_INTER_PREC_CORR,-5.300166931,A,_Z
93072,2010,A,3143,TAS_INTER_PREC_CORR,-24.485826543,A,_Z
93072,2009,A,3143,TAS_INTER_PREC_CORR,6.146463045,A,_Z
93072,2008,A,3143,TAS_INTER_PREC_CORR,9.921787709,A,_Z
93072,2007,A,3143,TAS_INTER_PREC_CORR,15.031276551,A,_Z
93073,2021,1E,3143,TAS_INTER_PREC_CORR,1.738824817,A,_Z
93073,2020,AV,3143,TAS_INTER_PREC_CORR,-0.001852827,A,_Z
93073,2019,P,3143,TAS_INTER_PREC_CORR,3.275092535,A,_Z
93073,2018,A,3143,TAS_INTER_PREC_CORR,2.778870379,A,_Z
93073,2017,A,3143,TAS_INTER_PREC_CORR,2.099958913,A,_Z
93073,2016,A,3143,TAS_INTER_PREC_CORR,2.266996844,A,_Z
93073,2015,A,3143,TAS_INTER_PREC_CORR,-1.487437006,A,_Z
93073,2014,A,3143,TAS_INTER_PREC_CORR,0.14690917,A,_Z
93073,2013,A,3143,TAS_INTER_PREC_CORR,1.181252775,A,_Z
93073,2012,A,3143,TAS_INTER_PREC_CORR,4.145900008,A,_Z
93073,2011,A,3143,TAS_INTER_PREC_CORR,4.292237027,A,_Z
93073,2010,A,3143,TAS_INTER_PREC_CORR,11.698236637,A,_Z
93073,2009,A,3143,TAS_INTER_PREC_CORR,-5.956225695,A,_Z
93073,2008,A,3143,TAS_INTER_PREC_CORR,8.340584711,A,_Z
93073,2007,A,3143,TAS_INTER_PREC_CORR,13.437675428,A,_Z
93074,2021,1E,3143,TAS_INTER_PREC_CORR,3.211341956,A,_Z
93074,2020,AV,3143,TAS_INTER_PREC_CORR,-18.917751573,A,_Z
93074,2019,P,3143,TAS_INTER_PREC_CORR,7.730347106,A,_Z
93074,2018,A,3143,TAS_INTER_PREC_CORR,5.065127084,A,_Z
93074,2017,A,3143,TAS_INTER_PREC_CORR,8.244853459,A,_Z
93074,2016,A,3143,TAS_INTER_PREC_CORR,0.208713435,A,_Z
93074,2015,A,3143,TAS_INTER_PREC_CORR,5.173454593,A,_Z
93074,2014,A,3143,TAS_INTER_PREC_CORR,5.615031258,A,_Z
93074,2013,A,3143,TAS_INTER_PREC_CORR,-0.534562962,A,_Z
