TIME_PERIOD,REF_AREA,ESTADO_CIVIL,D_ESTADOCIVILC2_0,INDICATOR,OBS_VALUE,FREQ
2018,ES613,,,DIV,41.0074,A
2018,ES614,TOTAL,,DIV,1684.5826,A
2018,ES614,TOTAL,,DIV,1537.7934,A
2018,ES614,TOTAL,,DIV,12.4886,A
2018,ES614,TOTAL,,DIV,134.3006,A
2018,ES614,,,DIV,1556.2223,A
2018,ES614,,,DIV,1487.5029,A
2018,ES614,,,DIV,7.4131,A
2018,ES614,,,DIV,61.3063,A
2018,ES614,,,DIV,14.8262,A
2018,ES614,,,DIV,7.0128,A
2018,ES614,,,DIV,2.3376,A
2018,ES614,,,DIV,5.4758,A
2018,ES614,,,DIV,113.5341,A
2018,ES614,,,DIV,43.2777,A
2018,ES614,,,DIV,2.7379,A
2018,ES614,,,DIV,67.5185,A
2018,ES615,TOTAL,,DIV,986.218,A
2018,ES615,TOTAL,,DIV,888.854,A
2018,ES615,TOTAL,,DIV,3.058,A
2018,ES615,TOTAL,,DIV,94.306,A
2018,ES615,,,DIV,937.064,A
2018,ES615,,,DIV,867.335,A
2018,ES615,,,DIV,69.729,A
2018,ES615,,,DIV,11.288,A
2018,ES615,,,DIV,3.058,A
2018,ES615,,,DIV,8.23,A
2018,ES615,,,DIV,37.866,A
2018,ES615,,,DIV,18.461,A
2018,ES615,,,DIV,3.058,A
2018,ES615,,,DIV,16.347,A
2018,ES616,TOTAL,,DIV,1108.2069,A
2018,ES616,TOTAL,,DIV,1051.7,A
2018,ES616,TOTAL,,DIV,9.6896,A
2018,ES616,TOTAL,,DIV,46.8173,A
2018,ES616,,,DIV,1042.689,A
2018,ES616,,,DIV,1015.7033,A
2018,ES616,,,DIV,9.6896,A
2018,ES616,,,DIV,17.2961,A
2018,ES616,,,DIV,7.1541,A
2018,ES616,,,DIV,4.8448,A
2018,ES616,,,DIV,2.3093,A
2018,ES616,,,DIV,58.3638,A
2018,ES616,,,DIV,31.1519,A
2018,ES616,,,DIV,27.2119,A
2018,ES617,TOTAL,,DIV,3718.358,A
2018,ES617,TOTAL,,DIV,3420.885,A
2018,ES617,TOTAL,,DIV,22.2785,A
2018,ES617,TOTAL,,DIV,275.1945,A
2018,ES617,,,DIV,3393.8018,A
2018,ES617,,,DIV,3229.9879,A
2018,ES617,,,DIV,14.6352,A
2018,ES617,,,DIV,149.1787,A
2018,ES617,,,DIV,37.5651,A
2018,ES617,,,DIV,25.1171,A
2018,ES617,,,DIV,2.8386,A
2018,ES617,,,DIV,9.6094,A
2018,ES617,,,DIV,286.9911,A
2018,ES617,,,DIV,165.78,A
2018,ES617,,,DIV,4.8047,A
2018,ES617,,,DIV,116.4064,A
2018,ES618,TOTAL,,DIV,4085.2617,A
2018,ES618,TOTAL,,DIV,3863.6795,A
2018,ES618,TOTAL,,DIV,14.5523,A
2018,ES618,TOTAL,,DIV,207.0299,A
2018,ES618,,,DIV,3840.1739,A
2018,ES618,,,DIV,3724.6981,A
2018,ES618,,,DIV,5.8764,A
2018,ES618,,,DIV,109.5994,A
2018,ES618,,,DIV,15.2175,A
2018,ES618,,,DIV,10.145,A
2018,ES618,,,DIV,1.4691,A
2018,ES618,,,DIV,3.6034,A
2018,ES618,,,DIV,229.8703,A
2018,ES618,,,DIV,128.8364,A
2018,ES618,,,DIV,7.2068,A
2018,ES618,,,DIV,93.8271,A
2017,ES61,TOTAL,,DIV,17436.6101,A
2017,ES61,TOTAL,,DIV,16344.362,A
2017,ES61,TOTAL,,DIV,100.0822,A
2017,ES61,TOTAL,,DIV,992.1659,A
2017,ES61,,,DIV,16177.9606,A
2017,ES61,,,DIV,15590.1419,A
2017,ES61,,,DIV,58.575,A
2017,ES61,,,DIV,529.2437,A
2017,ES61,,,DIV,83.6609,A
2017,ES61,,,DIV,61.1619,A
2017,ES61,,,DIV,7.0041,A
2017,ES61,,,DIV,15.4949,A
2017,ES61,,,DIV,1174.9886,A
2017,ES61,,,DIV,693.0582,A
2017,ES61,,,DIV,34.5031,A
2017,ES61,,,DIV,447.4273,A
2017,ES611,TOTAL,,DIV,1454.7143,A
2017,ES611,TOTAL,,DIV,1334.5725,A
2017,ES611,TOTAL,,DIV,18.3638,A
2017,ES611,TOTAL,,DIV,101.778,A
2017,ES611,,,DIV,1310.2333,A
2017,ES611,,,DIV,1251.6836,A
2017,ES611,,,DIV,11.7537,A
2017,ES611,,,DIV,46.796,A
2017,ES611,,,DIV,5.0889,A
2017,ES611,,,DIV,3.5677,A
2017,ES611,,,DIV,1.5212,A
2017,ES611,,,DIV,139.3921,A
2017,ES611,,,DIV,79.3212,A
2017,ES611,,,DIV,6.6101,A
2017,ES611,,,DIV,53.4608,A
2017,ES612,TOTAL,,DIV,2406.3281,A
2017,ES612,TOTAL,,DIV,2264.0488,A
2017,ES612,TOTAL,,DIV,14.035,A
2017,ES612,TOTAL,,DIV,128.2443,A
2017,ES612,,,DIV,2262.8576,A
2017,ES612,,,DIV,2177.3614,A
2017,ES612,,,DIV,9.5552,A
2017,ES612,,,DIV,75.941,A
2017,ES612,,,DIV,19.1104,A
2017,ES612,,,DIV,15.1787,A
2017,ES612,,,DIV,2.2399,A
2017,ES612,,,DIV,1.6918,A
2017,ES612,,,DIV,124.3601,A
2017,ES612,,,DIV,71.5087,A
2017,ES612,,,DIV,2.2399,A
2017,ES612,,,DIV,50.6115,A
2017,ES613,TOTAL,,DIV,1426.032,A
2017,ES613,TOTAL,,DIV,1345.7235,A
2017,ES613,TOTAL,,DIV,9.6545,A
2017,ES613,TOTAL,,DIV,70.654,A
2017,ES613,,,DIV,1339.5785,A
2017,ES613,,,DIV,1290.2995,A
2017,ES613,,,DIV,8.1315,A
2017,ES613,,,DIV,41.1475,A
2017,ES613,,,DIV,6.6085,A
2017,ES613,,,DIV,5.0855,A
2017,ES613,,,DIV,1.523,A
2017,ES613,,,DIV,79.845,A
2017,ES613,,,DIV,50.3385,A
2017,ES613,,,DIV,1.523,A
2017,ES613,,,DIV,27.9835,A
2017,ES614,TOTAL,,DIV,1990.6668,A
2017,ES614,TOTAL,,DIV,1865.7636,A
2017,ES614,TOTAL,,DIV,12.842,A
2017,ES614,TOTAL,,DIV,112.0612,A
2017,ES614,,,DIV,1857.7028,A
2017,ES614,,,DIV,1794.619,A
2017,ES614,,,DIV,2.0152,A
2017,ES614,,,DIV,61.0686,A
2017,ES614,,,DIV,10.4514,A
2017,ES614,,,DIV,6.421,A
2017,ES614,,,DIV,2.0152,A
2017,ES614,,,DIV,2.0152,A
2017,ES614,,,DIV,122.5126,A
2017,ES614,,,DIV,64.7236,A
2017,ES614,,,DIV,8.8116,A
2017,ES614,,,DIV,48.9774,A
2017,ES615,TOTAL,,DIV,1060.4795,A
2017,ES615,TOTAL,,DIV,995.586,A
2017,ES615,TOTAL,,DIV,6.5155,A
2017,ES615,TOTAL,,DIV,58.378,A
2017,ES615,,,DIV,986.8282,A
2017,ES615,,,DIV,958.2123,A
2017,ES615,,,DIV,3.9616,A
2017,ES615,,,DIV,24.6543,A
2017,ES615,,,DIV,2.5539,A
2017,ES615,,,DIV,2.5539,A
2017,ES615,,,DIV,71.0974,A
2017,ES615,,,DIV,34.8198,A
2017,ES615,,,DIV,2.5539,A
2017,ES615,,,DIV,33.7237,A
2017,ES616,TOTAL,,DIV,1127.8821,A
2017,ES616,TOTAL,,DIV,1088.0417,A
2017,ES616,TOTAL,,DIV,6.1416,A
2017,ES616,TOTAL,,DIV,33.6988,A
2017,ES616,,,DIV,1075.5226,A
2017,ES616,,,DIV,1048.4372,A
2017,ES616,,,DIV,4.0944,A
2017,ES616,,,DIV,22.991,A
2017,ES616,,,DIV,2.0472,A
2017,ES616,,,DIV,2.0472,A
2017,ES616,,,DIV,50.3123,A
2017,ES616,,,DIV,37.5573,A
2017,ES616,,,DIV,2.0472,A
2017,ES616,,,DIV,10.7078,A
2017,ES617,TOTAL,,DIV,3652.1307,A
2017,ES617,TOTAL,,DIV,3411.5637,A
2017,ES617,TOTAL,,DIV,16.4169,A
2017,ES617,TOTAL,,DIV,224.1501,A
2017,ES617,,,DIV,3344.2803,A
2017,ES617,,,DIV,3217.7925,A
2017,ES617,,,DIV,10.3197,A
