TIME_PERIOD,REF_AREA,D_TIPOMATRIMONIO_0,INDICATOR,OBS_VALUE,FREQ
2006,ES616,5664,DIV,1309.440144,A
2006,ES617,5669,DIV,4712.309813,A
2006,ES617,5664,DIV,4712.309813,A
2006,ES618,5669,DIV,5207.070647,A
2006,ES618,5664,DIV,5207.070647,A
2005,ES61,5669,DIV,10748.000406,A
2005,ES61,5664,DIV,10748.000406,A
2005,ES611,5669,DIV,833.000224,A
2005,ES611,5664,DIV,833.000224,A
2005,ES612,5669,DIV,1642.999986,A
2005,ES612,5664,DIV,1642.999986,A
2005,ES613,5669,DIV,939.000159,A
2005,ES613,5664,DIV,939.000159,A
2005,ES614,5669,DIV,959.000189,A
2005,ES614,5664,DIV,959.000189,A
2005,ES615,5669,DIV,726.999975,A
2005,ES615,5664,DIV,726.999975,A
2005,ES616,5669,DIV,636.999935,A
2005,ES616,5664,DIV,636.999935,A
2005,ES617,5669,DIV,2312.000002,A
2005,ES617,5664,DIV,2312.000002,A
2005,ES618,5669,DIV,2697.999936,A
2005,ES618,5664,DIV,2697.999936,A
2004,ES61,5669,DIV,7744.999297,A
2004,ES61,5664,DIV,7744.999297,A
2004,ES611,5669,DIV,623.000146,A
2004,ES611,5664,DIV,623.000146,A
2004,ES612,5669,DIV,1177.000044,A
2004,ES612,5664,DIV,1177.000044,A
2004,ES613,5669,DIV,607.00024,A
2004,ES613,5664,DIV,607.00024,A
2004,ES614,5669,DIV,873.000025,A
2004,ES614,5664,DIV,873.000025,A
2004,ES615,5669,DIV,473.000077,A
2004,ES615,5664,DIV,473.000077,A
2004,ES616,5669,DIV,411.9999,A
2004,ES616,5664,DIV,411.9999,A
2004,ES617,5669,DIV,1704.999483,A
2004,ES617,5664,DIV,1704.999483,A
2004,ES618,5669,DIV,1874.999382,A
2004,ES618,5664,DIV,1874.999382,A
2003,ES61,5669,DIV,6791.000174,A
2003,ES61,5664,DIV,6791.000174,A
2003,ES611,5669,DIV,513.000075,A
2003,ES611,5664,DIV,513.000075,A
2003,ES612,5669,DIV,1006.00038,A
2003,ES612,5664,DIV,1006.00038,A
2003,ES613,5669,DIV,567.99999,A
2003,ES613,5664,DIV,567.99999,A
2003,ES614,5669,DIV,787.999854,A
2003,ES614,5664,DIV,787.999854,A
2003,ES615,5669,DIV,439.999954,A
2003,ES615,5664,DIV,439.999954,A
2003,ES616,5669,DIV,408.000085,A
2003,ES616,5664,DIV,408.000085,A
2003,ES617,5669,DIV,1500.999744,A
2003,ES617,5664,DIV,1500.999744,A
2003,ES618,5669,DIV,1567.000092,A
2003,ES618,5664,DIV,1567.000092,A
2002,ES61,5669,DIV,6363.999709,A
2002,ES61,5664,DIV,6363.999709,A
2002,ES611,5669,DIV,462.9999,A
2002,ES611,5664,DIV,462.9999,A
2002,ES612,5669,DIV,957.999859,A
2002,ES612,5664,DIV,957.999859,A
2002,ES613,5669,DIV,493.999804,A
2002,ES613,5664,DIV,493.999804,A
2002,ES614,5669,DIV,746.999952,A
2002,ES614,5664,DIV,746.999952,A
2002,ES615,5669,DIV,333.0,A
2002,ES615,5664,DIV,333.0,A
2002,ES616,5669,DIV,356.999936,A
2002,ES616,5664,DIV,356.999936,A
