ESTADO_CIVIL;TIME_PERIOD;CERTIFIC_DISCAPAC;REF_AREA;INDICATOR;OBS_VALUE;FREQ;SEXO;EDAD;NIVEL_ESTUDIOS_TER;RELACTIVIDAD;SITUAC_PROFES;PERCEP_PRES_INVAL;SITUACION_DEPEND;COMP_HOG_ACTIVIDAD;AMBITO_ESTUD_HOG;PRESENC_DISCAPAC
MAR_REP;2020;5733;ES61;PC;51.427130598231386;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2019;5732;ES61;PC;50.94687184669722;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2019;5733;ES61;PC;48.4651114396942;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2018;5732;ES61;PC;51.54356944947077;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2018;5733;ES61;PC;47.50434284775216;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2017;5732;ES61;PC;52.23439412939229;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2017;5733;ES61;PC;46.99970406180237;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2016;5732;ES61;PC;53.08648916619732;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2016;5733;ES61;PC;48.21680325801349;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2015;5732;ES61;PC;53.334076277343925;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2015;5733;ES61;PC;51.02492807156401;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2014;5732;ES61;PC;52.8158547915483;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2014;5733;ES61;PC;51.065936300349044;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2020;5732;ES61;PC;1.5848846685629323;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2020;5733;ES61;PC;2.5786493193147297;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2019;5732;ES61;PC;1.6172801107498254;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2019;5733;ES61;PC;2.349830421205239;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2018;5732;ES61;PC;1.6118273627321034;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2018;5733;ES61;PC;3.1925935169591217;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2017;5732;ES61;PC;1.5689839191498074;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2017;5733;ES61;PC;3.0789973876132706;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2016;5732;ES61;PC;1.5446158726477521;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2016;5733;ES61;PC;3.217358522422517;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2015;5732;ES61;PC;1.6060693134753574;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2015;5733;ES61;PC;4.130176135313528;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2014;5732;ES61;PC;1.710575045248642;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2014;5733;ES61;PC;3.4308394918554197;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
DIV_DISREP;2020;5732;ES61;PC;6.230460830995155;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
DIV_DISREP;2020;5733;ES61;PC;8.751244982944177;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
DIV_DISREP;2019;5732;ES61;PC;5.971563886571813;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
DIV_DISREP;2019;5733;ES61;PC;10.014767550136419;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
DIV_DISREP;2018;5732;ES61;PC;6.219722052190278;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
DIV_DISREP;2018;5733;ES61;PC;11.170363461221827;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
DIV_DISREP;2017;5732;ES61;PC;6.183970222034499;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
DIV_DISREP;2017;5733;ES61;PC;11.231374584686323;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
DIV_DISREP;2016;5732;ES61;PC;5.980890360455531;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
DIV_DISREP;2016;5733;ES61;PC;10.672520843219328;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
DIV_DISREP;2015;5732;ES61;PC;5.922139676115485;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
DIV_DISREP;2015;5733;ES61;PC;9.459859476149235;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
DIV_DISREP;2014;5732;ES61;PC;5.985776845845147;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
DIV_DISREP;2014;5733;ES61;PC;10.422854584680875;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2020;5732;ES61;PC;100.0;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2020;5733;ES61;PC;100.0;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2019;5732;ES61;PC;100.0;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2019;5733;ES61;PC;100.0;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2018;5732;ES61;PC;100.0;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2018;5733;ES61;PC;100.0;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2017;5732;ES61;PC;100.0;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2017;5733;ES61;PC;100.0;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2016;5732;ES61;PC;100.0;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2016;5733;ES61;PC;100.0;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2015;5732;ES61;PC;100.0;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2015;5733;ES61;PC;100.0;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2014;5732;ES61;PC;100.0;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
TOTAL;2014;5733;ES61;PC;100.0;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
