TEMPORAL;SEXO;EDAD;CNED2014;NIVEL;RELACTIVIDAD;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2016;M;Y15-29;61288;46593;48939;ES61;TASA_DE_PARO;59.91239394422531;M
2016;M;Y15-29;61291;46593;48939;ES61;TASA_DE_PARO;59.23262829721862;M
2016;M;Y15-29;61311;46593;48939;ES61;TASA_DE_PARO;56.964197030590555;M
2016;M;Y15-29;61332;46593;48939;ES61;TASA_DE_PARO;41.27703045719465;M
2016;M;Y15-29;61283;46593;48939;ES61;TASA_DE_PARO;56.346285639053086;M
2016;M;Y25-34;61288;46593;48939;ES61;TASA_DE_PARO;43.127545621584105;M
2016;M;Y25-34;61291;46593;48939;ES61;TASA_DE_PARO;29.85863098561855;M
2016;M;Y25-34;61311;46593;48939;ES61;TASA_DE_PARO;24.823984971362954;M
2016;M;Y25-34;61332;46593;48939;ES61;TASA_DE_PARO;25.115156160778273;M
2016;M;Y25-34;61283;46593;48939;ES61;TASA_DE_PARO;28.806977402982152;M
2016;M;Y30-44;61285;46593;48939;ES61;TASA_DE_PARO;3.352038737144781;M
2016;M;Y30-44;61288;46593;48939;ES61;TASA_DE_PARO;36.52515421681801;M
2016;M;Y30-44;61291;46593;48939;ES61;TASA_DE_PARO;27.975239014565968;M
2016;M;Y30-44;61311;46593;48939;ES61;TASA_DE_PARO;16.71860154293106;M
2016;M;Y30-44;61332;46593;48939;ES61;TASA_DE_PARO;12.775741161966867;M
2016;M;Y30-44;61283;46593;48939;ES61;TASA_DE_PARO;21.104920291337915;M
2016;M;Y45-64;61285;46593;48939;ES61;TASA_DE_PARO;66.78422813258922;M
2016;M;Y45-64;61288;46593;48939;ES61;TASA_DE_PARO;39.69795946051827;M
2016;M;Y45-64;61291;46593;48939;ES61;TASA_DE_PARO;27.877758997747094;M
2016;M;Y45-64;61311;46593;48939;ES61;TASA_DE_PARO;18.158353386549553;M
2016;M;Y45-64;61332;46593;48939;ES61;TASA_DE_PARO;9.168718868859537;M
2016;M;Y45-64;61283;46593;48939;ES61;TASA_DE_PARO;22.95820252356302;M
2016;M;Y65-100;61285;46593;48939;ES61;TASA_DE_PARO;48.70545963000855;M
2016;M;Y65-100;61288;46593;48939;ES61;TASA_DE_PARO;39.02178753661317;M
2016;M;Y65-100;61291;46593;48939;ES61;TASA_DE_PARO;25.066489347716576;M
2016;M;Y65-100;61311;46593;48939;ES61;TASA_DE_PARO;15.485548290049275;M
2016;M;Y65-100;61332;46593;48939;ES61;TASA_DE_PARO;8.708245290546044;M
2016;M;Y65-100;61283;46593;48939;ES61;TASA_DE_PARO;23.8406010411706;M
2016;M;TOTAL;61285;46593;48939;ES61;TASA_DE_PARO;40.274430185111136;M
2016;M;TOTAL;61288;46593;48939;ES61;TASA_DE_PARO;40.67903676674361;M
2016;M;TOTAL;61291;46593;48939;ES61;TASA_DE_PARO;30.91060525593016;M
2016;M;TOTAL;61311;46593;48939;ES61;TASA_DE_PARO;22.485696392528176;M
2016;M;TOTAL;61332;46593;48939;ES61;TASA_DE_PARO;14.987989997728823;M
2016;M;TOTAL;61283;46593;48939;ES61;TASA_DE_PARO;26.20125176638558;M
2016;F;Y15-29;61285;46593;48939;ES61;TASA_DE_PARO;100.0;M
2016;F;Y15-29;61288;46593;48939;ES61;TASA_DE_PARO;81.45979669179515;M
2016;F;Y15-29;61291;46593;48939;ES61;TASA_DE_PARO;65.0318084899193;M
2016;F;Y15-29;61311;46593;48939;ES61;TASA_DE_PARO;57.528120252837056;M
2016;F;Y15-29;61332;46593;48939;ES61;TASA_DE_PARO;47.68975666890095;M
2016;F;Y15-29;61283;46593;48939;ES61;TASA_DE_PARO;59.86853675113933;M
2016;F;Y25-34;61285;46593;48939;ES61;TASA_DE_PARO;72.96551096964873;M
2016;F;Y25-34;61288;46593;48939;ES61;TASA_DE_PARO;49.64856087690691;M
2016;F;Y25-34;61291;46593;48939;ES61;TASA_DE_PARO;42.475810113887825;M
2016;F;Y25-34;61311;46593;48939;ES61;TASA_DE_PARO;29.86067147498573;M
2016;F;Y25-34;61332;46593;48939;ES61;TASA_DE_PARO;26.295998653531083;M
2016;F;Y25-34;61283;46593;48939;ES61;TASA_DE_PARO;33.50963471942568;M
2016;F;Y30-44;61285;46593;48939;ES61;TASA_DE_PARO;37.38912535972204;M
2016;F;Y30-44;61288;46593;48939;ES61;TASA_DE_PARO;40.84764532261761;M
2016;F;Y30-44;61291;46593;48939;ES61;TASA_DE_PARO;43.163473298002444;M
2016;F;Y30-44;61311;46593;48939;ES61;TASA_DE_PARO;32.76381837837981;M
2016;F;Y30-44;61332;46593;48939;ES61;TASA_DE_PARO;18.003675173537093;M
2016;F;Y30-44;61283;46593;48939;ES61;TASA_DE_PARO;29.592721424123226;M
2016;F;Y45-64;61285;46593;48939;ES61;TASA_DE_PARO;59.606255449908204;M
2016;F;Y45-64;61288;46593;48939;ES61;TASA_DE_PARO;54.375515311006374;M
2016;F;Y45-64;61291;46593;48939;ES61;TASA_DE_PARO;39.746027436634904;M
2016;F;Y45-64;61311;46593;48939;ES61;TASA_DE_PARO;24.304544423334626;M
2016;F;Y45-64;61332;46593;48939;ES61;TASA_DE_PARO;15.537239329160938;M
2016;F;Y45-64;61283;46593;48939;ES61;TASA_DE_PARO;31.331150310379037;M
2016;F;Y65-100;61285;46593;48939;ES61;TASA_DE_PARO;36.9797194497744;M
2016;F;Y65-100;61288;46593;48939;ES61;TASA_DE_PARO;34.69766790387458;M
2016;F;Y65-100;61291;46593;48939;ES61;TASA_DE_PARO;31.217256228479513;M
2016;F;Y65-100;61311;46593;48939;ES61;TASA_DE_PARO;13.387536369004405;M
2016;F;Y65-100;61332;46593;48939;ES61;TASA_DE_PARO;8.579906886709313;M
2016;F;Y65-100;61283;46593;48939;ES61;TASA_DE_PARO;21.90830053658815;M
2016;F;TOTAL;61285;46593;48939;ES61;TASA_DE_PARO;53.666811491411934;M
2016;F;TOTAL;61288;46593;48939;ES61;TASA_DE_PARO;47.02212357577981;M
2016;F;TOTAL;61291;46593;48939;ES61;TASA_DE_PARO;42.38997527328117;M
2016;F;TOTAL;61311;46593;48939;ES61;TASA_DE_PARO;30.339300743676123;M
2016;F;TOTAL;61332;46593;48939;ES61;TASA_DE_PARO;20.07113135542598;M
2016;F;TOTAL;61283;46593;48939;ES61;TASA_DE_PARO;32.14286424554184;M
