TEMPORAL;CNAE09;SEXO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2021;8256;M;ES61;PARADOS;28.3217475;M
2021;8256;F;ES61;PARADOS;49.0939325;M
2021;8256;_T;ES61;PARADOS;77.41568;M
2021;8346;M;ES61;PARADOS;10.6847;M
2021;8346;F;ES61;PARADOS;27.235005;M
2021;8346;_T;ES61;PARADOS;37.919705;M
2021;8456;M;ES61;PARADOS;136.88609;M
2021;8456;F;ES61;PARADOS;218.5432825;M
2021;8456;_T;ES61;PARADOS;355.4293725;M
2021;6950;M;ES61;PARADOS;40.0128875;M
2021;6950;F;ES61;PARADOS;42.3686475;M
2021;6950;_T;ES61;PARADOS;82.381535;M
2021;6949;M;ES61;PARADOS;404.68601;M
2021;6949;F;ES61;PARADOS;467.0975175;M
2021;6949;_T;ES61;PARADOS;871.7835275;M
