TEMPORAL;SEXO;EDAD;RELACTIVIDAD;NIVEL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2006;_T;TOTAL;48939;46593;ES61;POP;453.3560425;M
2006;_T;TOTAL;48940;46593;ES61;POP;3591.858105;M
2006;_T;TOTAL;48946;46593;ES61;POP;2880.4572825;M
2007;M;Y15-29;48952;46593;ES61;POP;483.338465;M
2007;M;Y15-29;48934;46593;ES61;POP;20.3616;M
2007;M;Y15-29;48936;46593;ES61;POP;223.0869125;M
2007;M;Y15-29;48937;46593;ES61;POP;13.260505;M
2007;M;Y15-29;48939;46593;ES61;POP;54.1581325;M
2007;M;Y15-29;48940;46593;ES61;POP;277.245045;M
2007;M;Y15-29;48946;46593;ES61;POP;206.09342;M
2007;M;Y25-34;48952;46593;ES61;POP;695.11233;M
2007;M;Y25-34;48934;46593;ES61;POP;45.1200125;M
2007;M;Y25-34;48936;46593;ES61;POP;571.80005;M
2007;M;Y25-34;48937;46593;ES61;POP;3.5694775;M
2007;M;Y25-34;48939;46593;ES61;POP;57.09255;M
2007;M;Y25-34;48940;46593;ES61;POP;628.8926;M
2007;M;Y25-34;48946;46593;ES61;POP;66.21973;M
2007;M;Y30-44;48952;46593;ES61;POP;664.2774975;M
2007;M;Y30-44;48934;46593;ES61;POP;27.55732;M
2007;M;Y30-44;48936;46593;ES61;POP;565.6252125;M
2007;M;Y30-44;48937;46593;ES61;POP;0.258225;M
2007;M;Y30-44;48939;46593;ES61;POP;43.0512625;M
2007;M;Y30-44;48940;46593;ES61;POP;608.676475;M
2007;M;Y30-44;48946;46593;ES61;POP;55.6010225;M
2007;M;Y45-54;48952;46593;ES61;POP;518.149405;M
2007;M;Y45-54;48934;46593;ES61;POP;15.0149475;M
2007;M;Y45-54;48936;46593;ES61;POP;419.0863325;M
2007;M;Y45-54;48937;46593;ES61;POP;0.286055;M
2007;M;Y45-54;48939;46593;ES61;POP;35.7953525;M
2007;M;Y45-54;48940;46593;ES61;POP;454.881685;M
