TEMPORAL;CNO11;SEXO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2017;6489;M;ES61;ASALARIADOS;31.242195;M
2017;6489;F;ES61;ASALARIADOS;3.437305;M
2017;6489;_T;ES61;ASALARIADOS;34.6795;M
2017;6601;M;ES61;ASALARIADOS;223.4495975;M
2017;6601;F;ES61;ASALARIADOS;24.291165;M
2017;6601;_T;ES61;ASALARIADOS;247.7407625;M
2017;6667;M;ES61;ASALARIADOS;148.29934;M
2017;6667;F;ES61;ASALARIADOS;16.57808;M
2017;6667;_T;ES61;ASALARIADOS;164.87742;M
2017;6726;M;ES61;ASALARIADOS;228.968445;M
2017;6726;F;ES61;ASALARIADOS;263.99433;M
2017;6726;_T;ES61;ASALARIADOS;492.962775;M
2017;5989;M;ES61;ASALARIADOS;22.5036825;M
2017;5989;F;ES61;ASALARIADOS;1.87918;M
2017;5989;_T;ES61;ASALARIADOS;24.3828625;M
2017;6727;M;ES61;ASALARIADOS;1324.1120225;M
2017;6727;F;ES61;ASALARIADOS;1096.794905;M
2017;6727;_T;ES61;ASALARIADOS;2420.9069275;M
2018;6038;M;ES61;ASALARIADOS;30.33314;M
2018;6038;F;ES61;ASALARIADOS;17.2735125;M
2018;6038;_T;ES61;ASALARIADOS;47.6066525;M
2018;6203;M;ES61;ASALARIADOS;172.2167225;M
2018;6203;F;ES61;ASALARIADOS;228.54779;M
2018;6203;_T;ES61;ASALARIADOS;400.7645125;M
2018;6333;M;ES61;ASALARIADOS;151.6297525;M
2018;6333;F;ES61;ASALARIADOS;79.5753725;M
2018;6333;_T;ES61;ASALARIADOS;231.205125;M
2018;6375;M;ES61;ASALARIADOS;94.3858725;M
2018;6375;F;ES61;ASALARIADOS;153.7314875;M
2018;6375;_T;ES61;ASALARIADOS;248.11736;M
2018;6463;M;ES61;ASALARIADOS;255.13331;M
2018;6463;F;ES61;ASALARIADOS;330.4085075;M
2018;6463;_T;ES61;ASALARIADOS;585.5418175;M
2018;6489;M;ES61;ASALARIADOS;29.1939775;M
2018;6489;F;ES61;ASALARIADOS;3.7180475;M
2018;6489;_T;ES61;ASALARIADOS;32.912025;M
2018;6601;M;ES61;ASALARIADOS;244.4058675;M
2018;6601;F;ES61;ASALARIADOS;25.5048125;M
2018;6601;_T;ES61;ASALARIADOS;269.91068;M
2018;6667;M;ES61;ASALARIADOS;158.4187525;M
2018;6667;F;ES61;ASALARIADOS;15.6064975;M
2018;6667;_T;ES61;ASALARIADOS;174.02525;M
2018;6726;M;ES61;ASALARIADOS;228.039;M
2018;6726;F;ES61;ASALARIADOS;265.92597;M
2018;6726;_T;ES61;ASALARIADOS;493.96497;M
2018;5989;M;ES61;ASALARIADOS;26.364715;M
2018;5989;F;ES61;ASALARIADOS;1.3326875;M
2018;5989;_T;ES61;ASALARIADOS;27.6974025;M
