TEMPORAL;SEXO;EDAD;CLASEINACTIV;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2007;_T;Y30-44;47513;ES61;INACTIVOS;44.38158;M
2007;_T;Y30-44;47514;ES61;INACTIVOS;22.3811;M
2007;_T;Y30-44;47520;ES61;INACTIVOS;25.987625;M
2007;_T;Y30-44;47522;ES61;INACTIVOS;11.53396;M
2007;_T;Y30-44;47523;ES61;INACTIVOS;528.58653;M
2007;_T;Y45-64;47511;ES61;INACTIVOS;15.20713;M
2007;_T;Y45-64;47512;ES61;INACTIVOS;130.22132;M
2007;_T;Y45-64;47517;ES61;INACTIVOS;409.691745;M
2007;_T;Y45-64;47513;ES61;INACTIVOS;106.1238625;M
2007;_T;Y45-64;47514;ES61;INACTIVOS;81.2647625;M
2007;_T;Y45-64;47520;ES61;INACTIVOS;21.5569025;M
2007;_T;Y45-64;47522;ES61;INACTIVOS;6.94352;M
2007;_T;Y45-64;47523;ES61;INACTIVOS;771.0092425;M
2007;_T;Y65-100;47511;ES61;INACTIVOS;6.9020875;M
2007;_T;Y65-100;47512;ES61;INACTIVOS;653.4881875;M
2007;_T;Y65-100;47517;ES61;INACTIVOS;149.43521;M
2007;_T;Y65-100;47513;ES61;INACTIVOS;70.418735;M
2007;_T;Y65-100;47514;ES61;INACTIVOS;237.4594775;M
2007;_T;Y65-100;47520;ES61;INACTIVOS;4.4484375;M
2007;_T;Y65-100;47522;ES61;INACTIVOS;0.537715;M
2007;_T;Y65-100;47523;ES61;INACTIVOS;1122.68985;M
2007;_T;TOTAL;47511;ES61;INACTIVOS;463.3883675;M
2007;_T;TOTAL;47512;ES61;INACTIVOS;788.3011025;M
2007;_T;TOTAL;47517;ES61;INACTIVOS;954.08532;M
2007;_T;TOTAL;47513;ES61;INACTIVOS;227.4544975;M
2007;_T;TOTAL;47514;ES61;INACTIVOS;343.932945;M
2007;_T;TOTAL;47520;ES61;INACTIVOS;67.6126275;M
2007;_T;TOTAL;47522;ES61;INACTIVOS;25.38276;M
2007;_T;TOTAL;47523;ES61;INACTIVOS;2870.15762;M
2008;M;Y15-29;47511;ES61;INACTIVOS;175.357355;M
2008;M;Y15-29;47517;ES61;INACTIVOS;5.2686325;M
2008;M;Y15-29;47513;ES61;INACTIVOS;4.5231875;M
2008;M;Y15-29;47514;ES61;INACTIVOS;0.6544025;M
2008;M;Y15-29;47520;ES61;INACTIVOS;12.633525;M
2008;M;Y15-29;47522;ES61;INACTIVOS;2.8193175;M
2008;M;Y15-29;47523;ES61;INACTIVOS;201.25642;M
2008;M;Y30-44;47511;ES61;INACTIVOS;31.08414;M
2008;M;Y30-44;47512;ES61;INACTIVOS;2.866085;M
2008;M;Y30-44;47517;ES61;INACTIVOS;19.80209;M
2008;M;Y30-44;47513;ES61;INACTIVOS;27.1271125;M
2008;M;Y30-44;47514;ES61;INACTIVOS;6.8396125;M
2008;M;Y30-44;47520;ES61;INACTIVOS;21.769665;M
2008;M;Y30-44;47522;ES61;INACTIVOS;8.04974;M
2008;M;Y30-44;47523;ES61;INACTIVOS;117.538445;M
2008;M;Y45-64;47511;ES61;INACTIVOS;2.1709075;M
2008;M;Y45-64;47512;ES61;INACTIVOS;96.5909725;M
2008;M;Y45-64;47517;ES61;INACTIVOS;27.979975;M
2008;M;Y45-64;47513;ES61;INACTIVOS;62.5704025;M
2008;M;Y45-64;47514;ES61;INACTIVOS;20.3385675;M
2008;M;Y45-64;47520;ES61;INACTIVOS;18.519105;M
2008;M;Y45-64;47522;ES61;INACTIVOS;5.0220875;M
2008;M;Y45-64;47523;ES61;INACTIVOS;233.1920175;M
2008;M;Y65-100;47511;ES61;INACTIVOS;0.14341;M
2008;M;Y65-100;47512;ES61;INACTIVOS;473.655355;M
2008;M;Y65-100;47517;ES61;INACTIVOS;1.64785;M
2008;M;Y65-100;47513;ES61;INACTIVOS;5.3192625;M
2008;M;Y65-100;47514;ES61;INACTIVOS;5.90761;M
