TEMPORAL;SEXO;NACIONALIDAD;EDAD;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2009;_T;46943;Y30-44;ES61;ACTIVOS;215.8283;M
2009;_T;46943;Y45-64;ES61;ACTIVOS;75.2934125;M
2009;_T;46943;Y65-100;ES61;ACTIVOS;2.2913325;M
2009;_T;46943;TOTAL;ES61;ACTIVOS;409.181405;M
2009;_T;46944;Y15-29;ES61;ACTIVOS;980.9865075;M
2009;_T;46944;Y30-44;ES61;ACTIVOS;1737.2554925;M
2009;_T;46944;Y45-64;ES61;ACTIVOS;1183.36578;M
2009;_T;46944;Y65-100;ES61;ACTIVOS;20.74386;M
2009;_T;46944;TOTAL;ES61;ACTIVOS;3922.35164;M
2010;M;46925;Y15-29;ES61;ACTIVOS;450.9721775;M
2010;M;46925;Y30-44;ES61;ACTIVOS;865.52142;M
2010;M;46925;Y45-64;ES61;ACTIVOS;705.816905;M
2010;M;46925;Y65-100;ES61;ACTIVOS;10.38903;M
2010;M;46925;TOTAL;ES61;ACTIVOS;2032.6995325;M
2010;M;46943;Y15-29;ES61;ACTIVOS;49.7659075;M
2010;M;46943;Y30-44;ES61;ACTIVOS;121.2237275;M
2010;M;46943;Y45-64;ES61;ACTIVOS;43.48129;M
2010;M;46943;Y65-100;ES61;ACTIVOS;0.6449225;M
2010;M;46943;TOTAL;ES61;ACTIVOS;215.1158475;M
2010;M;46944;Y15-29;ES61;ACTIVOS;500.738085;M
2010;M;46944;Y30-44;ES61;ACTIVOS;986.7451475;M
2010;M;46944;Y45-64;ES61;ACTIVOS;749.298195;M
2010;M;46944;Y65-100;ES61;ACTIVOS;11.0339525;M
2010;M;46944;TOTAL;ES61;ACTIVOS;2247.81538;M
2010;F;46925;Y15-29;ES61;ACTIVOS;390.93752;M
2010;F;46925;Y30-44;ES61;ACTIVOS;678.21983;M
2010;F;46925;Y45-64;ES61;ACTIVOS;459.234445;M
2010;F;46925;Y65-100;ES61;ACTIVOS;9.404055;M
2010;F;46925;TOTAL;ES61;ACTIVOS;1537.79585;M
2010;F;46943;Y15-29;ES61;ACTIVOS;59.2104025;M
2010;F;46943;Y30-44;ES61;ACTIVOS;96.90251;M
2010;F;46943;Y45-64;ES61;ACTIVOS;35.38781;M
2010;F;46943;Y65-100;ES61;ACTIVOS;1.840265;M
2010;F;46943;TOTAL;ES61;ACTIVOS;193.3409875;M
2010;F;46944;Y15-29;ES61;ACTIVOS;450.1479225;M
2010;F;46944;Y30-44;ES61;ACTIVOS;775.12234;M
2010;F;46944;Y45-64;ES61;ACTIVOS;494.622255;M
2010;F;46944;Y65-100;ES61;ACTIVOS;11.24432;M
2010;F;46944;TOTAL;ES61;ACTIVOS;1731.1368375;M
2010;_T;46925;Y15-29;ES61;ACTIVOS;841.9096975;M
2010;_T;46925;Y30-44;ES61;ACTIVOS;1543.74125;M
2010;_T;46925;Y45-64;ES61;ACTIVOS;1165.05135;M
2010;_T;46925;Y65-100;ES61;ACTIVOS;19.793085;M
2010;_T;46925;TOTAL;ES61;ACTIVOS;3570.4953825;M
2010;_T;46943;Y15-29;ES61;ACTIVOS;108.97631;M
2010;_T;46943;Y30-44;ES61;ACTIVOS;218.1262375;M
2010;_T;46943;Y45-64;ES61;ACTIVOS;78.8691;M
2010;_T;46943;Y65-100;ES61;ACTIVOS;2.4851875;M
2010;_T;46943;TOTAL;ES61;ACTIVOS;408.456835;M
2010;_T;46944;Y15-29;ES61;ACTIVOS;950.8860075;M
2010;_T;46944;Y30-44;ES61;ACTIVOS;1761.8674875;M
2010;_T;46944;Y45-64;ES61;ACTIVOS;1243.92045;M
2010;_T;46944;Y65-100;ES61;ACTIVOS;22.2782725;M
2010;_T;46944;TOTAL;ES61;ACTIVOS;3978.9522175;M
2011;M;46925;Y15-29;ES61;ACTIVOS;421.7252475;M
2011;M;46925;Y30-44;ES61;ACTIVOS;882.8588075;M
2011;M;46925;Y45-64;ES61;ACTIVOS;726.52606;M
2011;M;46925;Y65-100;ES61;ACTIVOS;10.8662175;M
2011;M;46925;TOTAL;ES61;ACTIVOS;2041.9763325;M
2011;M;46943;Y15-29;ES61;ACTIVOS;54.682445;M
2011;M;46943;Y30-44;ES61;ACTIVOS;106.0242325;M
2011;M;46943;Y45-64;ES61;ACTIVOS;43.5994875;M
2011;M;46943;Y65-100;ES61;ACTIVOS;0.6447225;M
2011;M;46943;TOTAL;ES61;ACTIVOS;204.9508875;M
2011;M;46944;Y15-29;ES61;ACTIVOS;476.4076925;M
2011;M;46944;Y30-44;ES61;ACTIVOS;988.88304;M
2011;M;46944;Y45-64;ES61;ACTIVOS;770.1255475;M
2011;M;46944;Y65-100;ES61;ACTIVOS;11.51094;M
2011;M;46944;TOTAL;ES61;ACTIVOS;2246.92722;M
2011;F;46925;Y15-29;ES61;ACTIVOS;367.2520875;M
2011;F;46925;Y30-44;ES61;ACTIVOS;694.7264875;M
2011;F;46925;Y45-64;ES61;ACTIVOS;489.3780075;M
2011;F;46925;Y65-100;ES61;ACTIVOS;9.164565;M
2011;F;46925;TOTAL;ES61;ACTIVOS;1560.5211475;M
2011;F;46943;Y15-29;ES61;ACTIVOS;52.8609825;M
2011;F;46943;Y30-44;ES61;ACTIVOS;97.249085;M
2011;F;46943;Y45-64;ES61;ACTIVOS;45.99829;M
2011;F;46943;Y65-100;ES61;ACTIVOS;0.87957;M
2011;F;46943;TOTAL;ES61;ACTIVOS;196.9879275;M
2011;F;46944;Y15-29;ES61;ACTIVOS;420.11307;M
2011;F;46944;Y30-44;ES61;ACTIVOS;791.9755725;M
2011;F;46944;Y45-64;ES61;ACTIVOS;535.3762975;M
2011;F;46944;Y65-100;ES61;ACTIVOS;10.044135;M
2011;F;46944;TOTAL;ES61;ACTIVOS;1757.509075;M
2011;_T;46925;Y15-29;ES61;ACTIVOS;788.977335;M
2011;_T;46925;Y30-44;ES61;ACTIVOS;1577.585295;M
2011;_T;46925;Y45-64;ES61;ACTIVOS;1215.9040675;M
2011;_T;46925;Y65-100;ES61;ACTIVOS;20.0307825;M
2011;_T;46925;TOTAL;ES61;ACTIVOS;3602.49748;M
2011;_T;46943;Y15-29;ES61;ACTIVOS;107.5434275;M
2011;_T;46943;Y30-44;ES61;ACTIVOS;203.2733175;M
2011;_T;46943;Y45-64;ES61;ACTIVOS;89.5977775;M
2011;_T;46943;Y65-100;ES61;ACTIVOS;1.5242925;M
2011;_T;46943;TOTAL;ES61;ACTIVOS;401.938815;M
2011;_T;46944;Y15-29;ES61;ACTIVOS;896.5207625;M
2011;_T;46944;Y30-44;ES61;ACTIVOS;1780.8586125;M
2011;_T;46944;Y45-64;ES61;ACTIVOS;1305.501845;M
2011;_T;46944;Y65-100;ES61;ACTIVOS;21.555075;M
2011;_T;46944;TOTAL;ES61;ACTIVOS;4004.436295;M
2012;M;46925;Y15-29;ES61;ACTIVOS;397.244865;M
2012;M;46925;Y30-44;ES61;ACTIVOS;868.638505;M
2012;M;46925;Y45-64;ES61;ACTIVOS;748.9686225;M
2012;M;46925;Y65-100;ES61;ACTIVOS;5.6726125;M
2012;M;46925;TOTAL;ES61;ACTIVOS;2020.524605;M
2012;M;46943;Y15-29;ES61;ACTIVOS;44.7897775;M
2012;M;46943;Y30-44;ES61;ACTIVOS;114.2424375;M
2012;M;46943;Y45-64;ES61;ACTIVOS;46.440025;M
2012;M;46943;Y65-100;ES61;ACTIVOS;0.4164675;M
2012;M;46943;TOTAL;ES61;ACTIVOS;205.8887075;M
2012;M;46944;Y15-29;ES61;ACTIVOS;442.0346425;M
2012;M;46944;Y30-44;ES61;ACTIVOS;982.8809425;M
2012;M;46944;Y45-64;ES61;ACTIVOS;795.4086475;M
2012;M;46944;Y65-100;ES61;ACTIVOS;6.08908;M
2012;M;46944;TOTAL;ES61;ACTIVOS;2226.4133125;M
2012;F;46925;Y15-29;ES61;ACTIVOS;361.63014;M
2012;F;46925;Y30-44;ES61;ACTIVOS;716.23136;M
2012;F;46925;Y45-64;ES61;ACTIVOS;521.55513;M
2012;F;46925;Y65-100;ES61;ACTIVOS;6.2988;M
2012;F;46925;TOTAL;ES61;ACTIVOS;1605.71543;M
2012;F;46943;Y15-29;ES61;ACTIVOS;42.4080475;M
2012;F;46943;Y30-44;ES61;ACTIVOS;108.4398025;M
2012;F;46943;Y45-64;ES61;ACTIVOS;62.15783;M
2012;F;46943;TOTAL;ES61;ACTIVOS;213.00568;M
2012;F;46944;Y15-29;ES61;ACTIVOS;404.0381875;M
2012;F;46944;Y30-44;ES61;ACTIVOS;824.6711625;M
