ID;NAME;DESCRIPTION;PARENTCODE;ORDER
2633;(18144) Nívar;Nívar;ES614;416
2634;(18145) Ogíjares;Ogíjares;ES614;417
2635;(18146) Orce;Orce;ES614;418
2636;(18147) Órgiva;Órgiva;ES614;419
2637;(18148) Otívar;Otívar;ES614;420
2638;(18149) Villa de Otura;Villa de Otura;ES614;421
2639;(18150) Padul;Padul;ES614;422
2640;(18151) Pampaneira;Pampaneira;ES614;423
2641;(18152) Pedro Martínez;Pedro Martínez;ES614;424
2642;(18153) Peligros;Peligros;ES614;425
2643;(18154) Peza (La);Peza (La);ES614;426
2644;(18155) Picena;Picena;ES614;427
2705;(18910) Pinar (El);Pinar (El);ES614;428
2645;(18156) Pinos del Valle;Pinos del Valle;ES614;429
2646;(18157) Pinos Genil;Pinos Genil;ES614;430
2647;(18158) Pinos Puente;Pinos Puente;ES614;431
2648;(18159) Píñar;Píñar;ES614;432
2649;(18160) Pitres;Pitres;ES614;433
2650;(18161) Polícar;Polícar;ES614;434
2651;(18162) Polopos;Polopos;ES614;435
2652;(18163) Pórtugos;Pórtugos;ES614;436
2653;(18164) Puebla de Don Fadrique;Puebla de Don Fadrique;ES614;437
2694;(18512) Pulianillas;Pulianillas;ES614;438
2654;(18165) Pulianas;Pulianas;ES614;438
2655;(18166) Purchil;Purchil;ES614;440
2656;(18167) Purullena;Purullena;ES614;441
2657;(18168) Quéntar;Quéntar;ES614;442
2658;(18169) Restábal;Restábal;ES614;443
2659;(18170) Rubite;Rubite;ES614;444
2660;(18171) Salar;Salar;ES614;445
2661;(18172) Saleres;Saleres;ES614;446
2662;(18173) Salobreña;Salobreña;ES614;447
2663;(18174) Santa Cruz del Comercio;Santa Cruz del Comercio;ES614;448
2664;(18175) Santa Fe;Santa Fe;ES614;449
2665;(18176) Soportújar;Soportújar;ES614;450
2666;(18177) Sorvilán;Sorvilán;ES614;451
2696;(18901) Taha (La);Taha (La);ES614;452
2667;(18178) Torre-Cardela;Torre-Cardela;ES614;453
280350;(18916) Torrenueva Costa;Torrenueva Costa;ES614;454
2668;(18179) Torvizcón;Torvizcón;ES614;455
2669;(18180) Trevélez;Trevélez;ES614;456
2695;(18513) Trujillos;Trujillos;ES614;457
2670;(18181) Turón;Turón;ES614;458
2671;(18182) Ugíjar;Ugíjar;ES614;459
2709;(18914) Valderrubio;Valderrubio;ES614;460
2697;(18902) Valle (El);Valle (El);ES614;461
2702;(18907) Valle del Zalabí;Valle del Zalabí;ES614;462
2672;(18183) Válor;Válor;ES614;463
2706;(18911) Vegas del Genil;Vegas del Genil;ES614;464
2673;(18184) Vélez de Benaudalla;Vélez de Benaudalla;ES614;465
2674;(18185) Ventas de Huelma;Ventas de Huelma;ES614;466
2675;(18186) Ventas de Zafarraya;Ventas de Zafarraya;ES614;467
2703;(18908) Villamena;Villamena;ES614;468
2676;(18187) Villanueva de las Torres;Villanueva de las Torres;ES614;469
2677;(18188) Villanueva Mesía;Villanueva Mesía;ES614;470
2678;(18189) Víznar;Víznar;ES614;471
2679;(18190) Yátor;Yátor;ES614;472
2680;(18191) Yegen;Yegen;ES614;473
2681;(18192) Zafarraya;Zafarraya;ES614;474
2708;(18913) Zagra;Zagra;ES614;475
2682;(18193) Zubia (La);Zubia (La);ES614;476
2683;(18194) Zújar;Zújar;ES614;477
2710;(18NC) Municipio de Granada sin especificar;Municipio de Granada sin especificar;ES614;478
2714;(21001) Alájar;Alájar;ES615;478
2715;(21002) Aljaraque;Aljaraque;ES615;479
2716;(21003) Almendro (El);Almendro (El);ES615;480
2717;(21004) Almonaster la Real;Almonaster la Real;ES615;481
2718;(21005) Almonte;Almonte;ES615;482
2719;(21006) Alosno;Alosno;ES615;483
2720;(21007) Aracena;Aracena;ES615;484
2721;(21008) Aroche;Aroche;ES615;485
2722;(21009) Arroyomolinos de León;Arroyomolinos de León;ES615;486
2723;(21010) Ayamonte;Ayamonte;ES615;487
2724;(21011) Beas;Beas;ES615;488
2725;(21012) Berrocal;Berrocal;ES615;489
2726;(21013) Bollullos Par del Condado;Bollullos Par del Condado;ES615;490
2727;(21014) Bonares;Bonares;ES615;491
2728;(21015) Cabezas Rubias;Cabezas Rubias;ES615;492
2729;(21016) Cala;Cala;ES615;493
2730;(21017) Calañas;Calañas;ES615;494
2731;(21018) Campillo (El);Campillo (El);ES615;495
2732;(21019) Campofrío;Campofrío;ES615;496
2733;(21020) Cañaveral de León;Cañaveral de León;ES615;497
2734;(21021) Cartaya;Cartaya;ES615;498
2735;(21022) Castaño del Robledo;Castaño del Robledo;ES615;499
2736;(21023) Cerro de Andévalo (El);Cerro de Andévalo (El);ES615;500
2743;(21030) Chucena;Chucena;ES615;501
2737;(21024) Corteconcepción;Corteconcepción;ES615;502
2738;(21025) Cortegana;Cortegana;ES615;503
2739;(21026) Cortelazor;Cortelazor;ES615;504
2740;(21027) Cumbres de Enmedio;Cumbres de Enmedio;ES615;505
